transcript_id	frame0	frame1	frame2	frameSum
YGL142C_mRNA	474	69	45	588
YLR103C_mRNA	343	36	16	395
YHR215W_mRNA	638	67	25	730
YNR020C_mRNA	291	50	21	362
YNL313C_mRNA	2331	344	166	2841
YJL055W_mRNA	1009	105	51	1165
YCL048W-A_mRNA	1	0	0	1
YMR007W_mRNA	1	0	0	1
YMR273C_mRNA	817	82	67	966
YGR182C_mRNA	0	0	0	0
YIR024C_mRNA	202	19	17	238
YGR293C_mRNA	0	0	0	0
YOL040C_mRNA	86868	9897	4454	101219
YJL011C_mRNA	568	49	49	666
YKR060W_mRNA	204	28	13	245
YAR020C_mRNA	0	0	0	0
YDL110C_mRNA	508	32	46	586
YDR067C_mRNA	147	25	14	186
YLR401C_mRNA	1920	192	135	2247
YPR162C_mRNA	462	102	33	597
YLR424W_mRNA	99	4	9	112
YBR149W_mRNA	1761	152	83	1996
YLR453C_mRNA	50	0	5	55
YKL128C_mRNA	1876	240	121	2237
YNL185C_mRNA	577	80	42	699
YEL015W_mRNA	862	75	53	990
YBR196C-A_mRNA	0	0	0	0
YDR044W_mRNA	965	117	40	1122
YOR099W_mRNA	1864	230	88	2182
YDR005C_mRNA	478	53	24	555
YGR176W_mRNA	0	0	0	0
YKL090W_mRNA	75	6	1	82
YLR235C_mRNA	0	0	0	0
YFL027C_mRNA	240	17	23	280
YNL286W_mRNA	92	19	3	114
YJL083W_mRNA	93	9	5	107
YOL066C_mRNA	622	76	58	756
YOL022C_mRNA	1920	212	119	2251
YCL043C_mRNA	32302	2856	1558	36716
YLR371W_mRNA	294	38	16	348
YLR336C_mRNA	1728	219	79	2026
YEL008W_mRNA	0	0	0	0
YDL129W_mRNA	89	16	4	109
YPR002W_mRNA	28	4	3	35
YER148W-A_mRNA	0	0	0	0
YPR180W_mRNA	311	46	36	393
YJL049W_mRNA	87	11	6	104
YJL219W_mRNA	0	0	0	0
YHR203C_mRNA	22572	3612	1161	27345
YDL145C_mRNA	9035	1165	548	10748
YIL064W_mRNA	463	48	26	537
YIL127C_mRNA	862	55	47	964
YPR016C_mRNA	5512	537	290	6339
YOL015W_mRNA	0	0	0	0
YLR016C_mRNA	286	38	13	337
YMR152W_mRNA	536	56	21	613
YEL028W_mRNA	0	0	2	2
YGR280C_mRNA	1415	157	94	1666
YBL076C_mRNA	28702	3298	1384	33384
YHR067W_mRNA	40	5	2	47
YOR253W_mRNA	424	50	26	500
YHL048C-A_mRNA	0	0	0	0
YBL030C_mRNA	16760	1775	856	19391
YDL007W_mRNA	2671	297	147	3115
YML030W_mRNA	123	18	3	144
YPL211W_mRNA	866	78	51	995
YPL236C_mRNA	160	26	12	198
YMR256C_mRNA	734	68	51	853
YOR144C_mRNA	265	47	15	327
YDL227C_mRNA	8	3	7	18
YLR441C_mRNA	38790	2979	2033	43802
YNL325C_mRNA	298	21	17	336
YPL208W_mRNA	293	33	14	340
YBR211C_mRNA	353	40	19	412
YMR279C_mRNA	12	2	1	15
YLR348C_mRNA	1580	185	106	1871
YBR230C_mRNA	989	150	55	1194
YBR237W_mRNA	70	7	7	84
YJL109C_mRNA	4594	567	373	5534
YLR077W_mRNA	214	42	11	267
YMR017W_mRNA	11	0	1	12
YLR405W_mRNA	179	19	9	207
YKL180W_mRNA	14624	2327	703	17654
YGR169C_mRNA	158	21	16	195
YOL077W-A_mRNA	237	14	11	262
YIL096C_mRNA	356	41	20	417
YMR004W_mRNA	352	41	26	419
YGR118W_mRNA	9968	862	457	11287
YOR342C_mRNA	568	80	43	691
YOR346W_mRNA	216	24	20	260
YCL076W_mRNA	0	0	0	0
YPL039W_mRNA	86	4	2	92
YDL078C_mRNA	3516	286	249	4051
YDR099W_mRNA	3906	567	151	4624
YJL038C_mRNA	4	1	1	6
YLR386W_mRNA	511	69	33	613
YOR098C_mRNA	3768	440	238	4446
YFL011W_mRNA	1	0	0	1
YLR137W_mRNA	65	14	5	84
YGR279C_mRNA	33426	2764	1248	37438
YHR022C-A_mRNA	0	0	0	0
YBR117C_mRNA	11	2	0	13
YFL053W_mRNA	0	2	0	2
YNL274C_mRNA	398	37	25	460
Q0075_mRNA	0	0	0	0
YJR089W_mRNA	127	12	6	145
YNL066W_mRNA	3033	243	136	3412
YKL068W-A_mRNA	64	19	8	91
YML133W-A_mRNA	0	0	0	0
YLR337C_mRNA	4652	500	320	5472
YLR157W-E_mRNA	0	0	0	0
YHR028C_mRNA	1799	211	104	2114
YKL097C_mRNA	0	0	0	0
YPR036W_mRNA	4668	497	270	5435
YLL039C_mRNA	3882	281	291	4454
YNL178W_mRNA	29559	3256	1270	34085
YJL051W_mRNA	138	18	14	170
YOR107W_mRNA	2	2	0	4
YOR015W_mRNA	0	0	0	0
YDR508C_mRNA	8296	887	413	9596
YER145C_mRNA	10484	1618	603	12705
YER151C_mRNA	3923	363	212	4498
YGR136W_mRNA	1472	113	103	1688
YHL009C_mRNA	435	53	40	528
YDR420W_mRNA	148	21	6	175
YGL130W_mRNA	556	44	25	625
YMR108W_mRNA	7453	675	447	8575
YGR287C_mRNA	53	9	0	62
YBR195C_mRNA	438	57	28	523
YJL162C_mRNA	198	26	11	235
YKR014C_mRNA	2238	202	123	2563
YDR320C_mRNA	1526	144	109	1779
YDR261C_mRNA	1779	175	100	2054
YNL008C_mRNA	499	60	29	588
YFR001W_mRNA	346	26	19	391
YLR410W_mRNA	2731	269	166	3166
YKL106C-A_mRNA	1	0	0	1
YJL147C_mRNA	115	22	6	143
YKL150W_mRNA	588	51	36	675
YPL244C_mRNA	368	45	21	434
YDR091C_mRNA	6577	646	358	7581
YNR061C_mRNA	1293	160	82	1535
YBL065W_mRNA	0	0	0	0
YDL018C_mRNA	583	107	34	724
YLR294C_mRNA	2	0	24	26
YDR541C_mRNA	142	11	7	160
YLR333C_mRNA	16968	1402	609	18979
YPR019W_mRNA	664	57	39	760
YER054C_mRNA	18	3	2	23
YDR031W_mRNA	84	5	4	93
YKR101W_mRNA	53	5	9	67
YFR052W_mRNA	1168	92	78	1338
YNL091W_mRNA	648	58	39	745
YDL072C_mRNA	2953	253	193	3399
YEL075W-A_mRNA	0	0	0	0
YPL044C_mRNA	0	0	0	0
YMR128W_mRNA	1171	113	90	1374
YBR128C_mRNA	29	5	8	42
YDL150W_mRNA	640	64	29	733
YBL010C_mRNA	278	45	17	340
YLR031W_mRNA	0	0	0	0
YML081W_mRNA	228	19	20	267
YBR078W_mRNA	16263	1363	779	18405
YPL224C_mRNA	464	59	17	540
