transcript	mean_density
YBR157C_mRNA	0.2607843137254902	
YHR164C_mRNA	0.18988173455978974	
YGR203W_mRNA	0.32094594594594594	
YDR042C_mRNA	0.0025	
YJR140C_mRNA	0.1386529126213592	
YDL209C_mRNA	0.3495575221238938	
YGL051W_mRNA	0.0	
YKL153W_mRNA	0.008875739644970414	
YBL043W_mRNA	0.0019455252918287938	
YDR313C_mRNA	0.3898601398601399	
YDL204W_mRNA	0.17938931297709923	
YMR004W_mRNA	0.30039138943248533	
YER116C_mRNA	0.6222627737226277	
YDR307W_mRNA	0.13444108761329304	
YEL021W_mRNA	0.1198501872659176	
YMR125W_mRNA	0.32752613240418116	
YGL028C_mRNA	0.9492619926199262	
YGR121W-A_mRNA	0.014084507042253521	
Q0050_mRNA	0.0029976019184652274	
YDR058C_mRNA	0.40644171779141103	
YGR201C_mRNA	0.2222222222222222	
YKL092C_mRNA	0.14628623188405798	
YML015C_mRNA	0.5130057803468209	
YOR349W_mRNA	0.10798816568047337	
YLR049C_mRNA	0.26168224299065423	
YOR182C_mRNA	0.6587301587301587	
YOR042W_mRNA	0.49148418491484186	
YGR068W-A_mRNA	0.0	
YOR174W_mRNA	0.17077464788732394	
YBL087C_mRNA	0.7116788321167884	
YOR367W_mRNA	0.4975	
YOR271C_mRNA	0.7614678899082569	
YLR456W_mRNA	0.0857843137254902	
YDL024C_mRNA	0.11431623931623933	
YDL120W_mRNA	0.46264367816091956	
YDR538W_mRNA	0.006198347107438017	
YKR083C_mRNA	0.2781954887218045	
YMR135C_mRNA	0.4846153846153846	
YGR048W_mRNA	0.4293628808864266	
YIL112W_mRNA	0.26038781163434904	
YFL012W-A_mRNA	0.0	
YIL111W_mRNA	0.5333333333333333	
YJL096W_mRNA	0.3074534161490683	
YNR001W-A_mRNA	0.0	
YDR392W_mRNA	0.3234421364985163	
YNL334C_mRNA	0.009009009009009009	
YBR140C_mRNA	0.1340556274256145	
YNL306W_mRNA	0.41935483870967744	
YEL038W_mRNA	0.4581497797356828	
YJL039C_mRNA	0.41117052881758764	
YNR020C_mRNA	0.3462962962962963	
YNL101W_mRNA	0.11430575035063113	
YDR480W_mRNA	0.12383900928792568	
YKL187C_mRNA	0.0006666666666666666	
YBL071W-A_mRNA	0.7560975609756098	
YDL240C-A_mRNA	0.0	
YER091C_mRNA	0.7672750977835723	
YJR024C_mRNA	0.5860655737704918	
Q0275_mRNA	0.026022304832713755	
YBL107C_mRNA	0.3494897959183674	
YIL140W_mRNA	0.07837181044957472	
YJL075C_mRNA	0.0	
YCR003W_mRNA	0.3469945355191257	
YPL066W_mRNA	0.06680584551148226	
YGR043C_mRNA	0.33783783783783783	
YDR034C_mRNA	0.3683544303797468	
YER164W_mRNA	0.1784741144414169	
YGR092W_mRNA	0.27884615384615385	
YPL252C_mRNA	0.6831395348837209	
YOR241W_mRNA	0.2992700729927007	
YGL208W_mRNA	0.2506024096385542	
YOR259C_mRNA	0.8810068649885583	
YOR107W_mRNA	0.008090614886731391	
YBR193C_mRNA	0.6143497757847534	
YIL165C_mRNA	0.004201680672268907	
YNL296W_mRNA	0.0	
YMR062C_mRNA	0.63718820861678	
YPL044C_mRNA	0.0	
YPL265W_mRNA	0.6036184210526316	
YOR003W_mRNA	0.051255230125523014	
YOL042W_mRNA	0.15702479338842976	
YML054C_mRNA	0.07868020304568528	
YLR437C-A_mRNA	0.0	
YGL038C_mRNA	0.634375	
YDR525W-A_mRNA	0.5949367088607596	
YDR467C_mRNA	0.0	
YER113C_mRNA	0.18271954674220964	
YBL027W_mRNA	0.7354497354497355	
YNR056C_mRNA	0.00089126559714795	
YDR242W_mRNA	0.0018214936247723133	
YDL034W_mRNA	0.0	
YPL065W_mRNA	0.1756198347107438	
YDR300C_mRNA	0.6098130841121495	
YGR168C_mRNA	0.09707446808510639	
YML099W-A_mRNA	0.0	
YKL024C_mRNA	0.517156862745098	
YJL222W-A_mRNA	0.0	
YDR405W_mRNA	0.3669201520912547	
YNL018C_mRNA	0.0	
YKL049C_mRNA	0.49563318777292575	
