transcript	si-eIF5A-1
YBR157C_mRNA	0.23137254901960785
YHR164C_mRNA	0.22798948751642575
YGR203W_mRNA	0.3581081081081081
YDR042C_mRNA	0.005
YJR140C_mRNA	0.1304611650485437
YDL209C_mRNA	0.3952802359882006
YGL051W_mRNA	0.0
YKL153W_mRNA	0.011834319526627219
YBL043W_mRNA	0.0
YDR313C_mRNA	0.4370629370629371
YDL204W_mRNA	0.17557251908396945
YMR004W_mRNA	0.32289628180039137
YER116C_mRNA	0.6605839416058394
YDR307W_mRNA	0.1268882175226586
YEL021W_mRNA	0.10486891385767791
YMR125W_mRNA	0.3437862950058072
YGL028C_mRNA	0.940959409594096
YGR121W-A_mRNA	0.0
Q0050_mRNA	0.004796163069544364
YDR058C_mRNA	0.44785276073619634
YGR201C_mRNA	0.2088888888888889
YKL092C_mRNA	0.16032608695652173
YML015C_mRNA	0.5375722543352601
YOR349W_mRNA	0.12130177514792899
YLR049C_mRNA	0.20327102803738317
YOR182C_mRNA	0.6507936507936508
YOR042W_mRNA	0.5279805352798054
YGR068W-A_mRNA	0.0
YOR174W_mRNA	0.17253521126760563
YBL087C_mRNA	0.708029197080292
YOR367W_mRNA	0.51
YOR271C_mRNA	0.7859327217125383
YLR456W_mRNA	0.09803921568627451
YDL024C_mRNA	0.13675213675213677
YDL120W_mRNA	0.46551724137931033
YDR538W_mRNA	0.004132231404958678
YKR083C_mRNA	0.3383458646616541
YMR135C_mRNA	0.47912087912087914
YGR048W_mRNA	0.4792243767313019
YIL112W_mRNA	0.3028624192059095
YFL012W-A_mRNA	0.0
YIL111W_mRNA	0.5466666666666666
YJL096W_mRNA	0.3105590062111801
YNR001W-A_mRNA	0.0
YDR392W_mRNA	0.3353115727002967
YNL334C_mRNA	0.0045045045045045045
YBR140C_mRNA	0.14747736093143596
YNL306W_mRNA	0.39631336405529954
YEL038W_mRNA	0.4713656387665198
YJL039C_mRNA	0.40760546642899587
YNR020C_mRNA	0.362962962962963
YNL101W_mRNA	0.1276297335203366
YDR480W_mRNA	0.13622291021671826
YKL187C_mRNA	0.0013333333333333333
YBL071W-A_mRNA	0.7804878048780488
YDL240C-A_mRNA	0.0
YER091C_mRNA	0.7731421121251629
YJR024C_mRNA	0.5860655737704918
Q0275_mRNA	0.02973977695167286
YBL107C_mRNA	0.39285714285714285
YIL140W_mRNA	0.041312272174969626
YJL075C_mRNA	0.0
YCR003W_mRNA	0.3770491803278688
YPL066W_mRNA	0.07933194154488518
YGR043C_mRNA	0.45345345345345345
YDR034C_mRNA	0.40253164556962023
YER164W_mRNA	0.1880108991825613
YGR092W_mRNA	0.26573426573426573
YPL252C_mRNA	0.7093023255813954
YOR241W_mRNA	0.3248175182481752
YGL208W_mRNA	0.3180722891566265
YOR259C_mRNA	0.9016018306636155
YOR107W_mRNA	0.009708737864077669
YBR193C_mRNA	0.6278026905829597
YIL165C_mRNA	0.008403361344537815
YNL296W_mRNA	0.0
YMR062C_mRNA	0.6507936507936508
YPL044C_mRNA	0.0
YPL265W_mRNA	0.5822368421052632
YOR003W_mRNA	0.05439330543933055
YOL042W_mRNA	0.1790633608815427
YML054C_mRNA	0.0676818950930626
YLR437C-A_mRNA	0.0
YGL038C_mRNA	0.6520833333333333
YDR525W-A_mRNA	0.6075949367088608
YDR467C_mRNA	0.0
YER113C_mRNA	0.17705382436260622
YBL027W_mRNA	0.7354497354497355
YNR056C_mRNA	0.0
YDR242W_mRNA	0.0018214936247723133
YDL034W_mRNA	0.0
YPL065W_mRNA	0.2231404958677686
YDR300C_mRNA	0.6308411214953271
YGR168C_mRNA	0.11436170212765957
YML099W-A_mRNA	0.0
YKL024C_mRNA	0.5637254901960784
YJL222W-A_mRNA	0.0
YDR405W_mRNA	0.4372623574144487
YNL018C_mRNA	0.0
YKL049C_mRNA	0.519650655021834
YOR041C_mRNA	0.0
YOR244W_mRNA	0.2606741573033708
YKL094W_mRNA	0.4057507987220447
YFR043C_mRNA	0.33755274261603374
YER090W_mRNA	0.5996055226824457
YML067C_mRNA	0.5823863636363636
YJR013W_mRNA	0.16377171215880892
YDR509W_mRNA	0.0
YNL202W_mRNA	0.017123287671232876
YJR005C-A_mRNA	0.03225806451612903
YIL173W_mRNA	0.0
YDL006W_mRNA	0.3167259786476868
YAL027W_mRNA	0.1532567049808429
YDR545W_mRNA	0.0
YGR163W_mRNA	0.25513196480938416
YCL054W-A_mRNA	0.0
YIL158W_mRNA	0.06862745098039216
YDR197W_mRNA	0.18251928020565553
YLR357W_mRNA	0.4184476940382452
YPL222C-A_mRNA	0.0
YIR032C_mRNA	0.09230769230769231
YNR017W_mRNA	0.527027027027027
YGL005C_mRNA	0.2903225806451613
YNR059W_mRNA	0.03620689655172414
YGR275W_mRNA	0.5222929936305732
YHR173C_mRNA	0.10714285714285714
YER124C_mRNA	0.8010471204188482
YJL176C_mRNA	0.5781818181818181
YMR143W_mRNA	0.8531468531468531
