	si-Ctrl-1	si-Ctrl-2	si-eIF5A-1	si-eIF5A-2
YOL029C_mRNA	0.0005841077482535324	0.0	0.0015824005411809849	0.0034982118307191976
YPL002C_mRNA	0.05665845158059264	0.08862335362734278	0.29432650065966326	0.265864099134659
Q0255_mRNA	0.0	0.0	0.0	0.0
YMR322C_mRNA	0.0	0.0	0.0	0.0
YLR122C_mRNA	0.0	0.0	0.0	0.0
YGR295C_mRNA	0.11273279541293175	0.16062982844955884	0.49212656830728635	0.44660504372181753
YCR100C_mRNA	0.0	0.0	0.0	0.0
YDL098C_mRNA	0.05665845158059264	0.05649738793743103	0.0625048213766489	0.03964640074815091
YNL025C_mRNA	0.033294141650451345	0.034341549530595324	0.09098803111790664	0.06879816600414422
YCR098C_mRNA	0.005256969734281792	0.0022155838406835698	0.007120802435314433	0.011660706102397327
YDL048C_mRNA	0.008177508475549456	0.011077919203417847	0.10206483490617353	0.04081247135839064
YJL078C_mRNA	0.41763704000127566	0.34230770338561156	0.5166537766955916	1.2640205414998702
YHL039W_mRNA	0.05490612833583205	0.08419218594597565	0.12500964275329782	0.12127134346493218
YPR041W_mRNA	0.6442708463236464	0.6879387825322483	1.6797181744636156	1.6663149020325778
YOL027C_mRNA	0.4596927978755299	0.4043440509247515	0.9731763328263058	0.7043066485847984
YIL002C_mRNA	0.04556040436377553	0.03212596568991176	0.04826321650602004	0.052473177460787966
YKR053C_mRNA	0.005841077482535324	0.009970127283076063	0.02848320974125773	0.011660706102397325
YEL018C-A_mRNA	0.0	0.0	0.0	0.0011660706102397326
YMR193C-A_mRNA	0.0	0.0	0.0	0.0
YFR051C_mRNA	1.0286137446744705	0.8430296513800981	1.0894827726031082	0.9421850530737038
YLR261C_mRNA	0.279787611413442	0.2503609739972434	0.19384406629467069	0.20872663923291218
YLR130C_mRNA	0.17055946249003148	0.16284541229024238	0.08703202976495417	0.07579458966558261
YFR039C_mRNA	0.11273279541293174	0.12518048699862167	0.0727904248943253	0.08628922515774022
YMR091C_mRNA	0.32885266226673887	0.2680856447227119	0.6661906278371947	0.38946758382007063
YFL064C_mRNA	0.0005841077482535324	0.0	0.0	0.0
YML086C_mRNA	0.8165826320584383	0.7998257664867687	1.2651292326741974	1.0564599728771977
YDR182W_mRNA	0.11915798064372062	0.10080906475110242	0.2816672963302153	0.2868533701189742
YLR085C_mRNA	0.09287313197231166	0.08197660210529208	0.23815128144773826	0.17840880336667908
YLR245C_mRNA	0.15128390679766487	0.14844411732579915	0.2318216792830143	0.25536946364250146
YJL045W_mRNA	0.0	0.0	0.0	0.0
YIL046W-A_mRNA	0.0	0.0	0.0	0.0
YJL137C_mRNA	0.03446235714695841	0.03877271721196247	0.01898880649417182	0.03498211830719198
YER022W_mRNA	0.02628484867140896	0.031018173769569973	0.12500964275329784	0.06646602478366476
YML047C_mRNA	0.0005841077482535324	0.0044311676813671395	0.016615205682400346	0.0
YLR228C_mRNA	0.05841077482535324	0.057605179857772804	0.051428017588382016	0.029151765255993313
YDL161W_mRNA	0.10572350243388938	0.09194672938836815	0.14399844924746966	0.1422606144492474
YIL108W_mRNA	0.07885454601422688	0.05982076369845639	0.37107292690694105	0.20522842740219296
YBL009W_mRNA	0.041471650126000806	0.04098830105264604	0.015824005411809852	0.059469601122226365
YDL230W_mRNA	0.06775649879740979	0.055389596017089246	0.09969123409440206	0.08162494271678128
YDR540C_mRNA	0.02278020218188776	0.01883246264581034	0.10760323680030698	0.052473177460787966
YCR036W_mRNA	0.07126114528693096	0.06757530714084888	0.2563488876713196	0.2716944521858577
YHR037W_mRNA	0.14777926030814373	0.12628827891896344	0.3671169255539885	0.33349619452856344
YDL091C_mRNA	0.08995259323104399	0.06646751522050709	0.32913931256564494	0.23787840448890546
YHR137W_mRNA	0.17055946249003148	0.175031123414002	1.9685062732291456	2.6831284741616246
YLL067W-A_mRNA	0.0	0.0	0.0	0.0
YPL130W_mRNA	0.0	0.0	0.0	0.0
YDR119W-A_mRNA	0.0075934007272959216	0.014401294964443201	0.19067926521230874	0.20872663923291213
YER179W_mRNA	0.0005841077482535324	0.0	0.0031648010823619697	0.0023321412204794652
YOR129C_mRNA	0.01927555569236657	0.01883246264581034	0.044307215153067576	0.0466428244095893
YJL188C_mRNA	0.0	0.0	0.0007912002705904924	0.0023321412204794652
YBR200W_mRNA	0.03913521913298667	0.04763505257469675	0.054592818670743976	0.052473177460787966
YOR167C_mRNA	10.913469168369	11.569778816049599	13.555634236026911	14.830086021028919
YMR103C_mRNA	0.009929831720310051	0.0055389596017089236	0.0023736008117714773	0.0023321412204794652
YPR011C_mRNA	0.07359757627994508	0.07089868290187423	0.14558084978865066	0.07579458966558261
YNL026W_mRNA	0.05315380509107146	0.04652726065435497	0.09494403247085911	0.06296781295294557
YIR017W-A_mRNA	0.0	0.0	0.0	0.0
YKL061W_mRNA	0.04497629661552199	0.04098830105264604	0.04747201623542954	0.0466428244095893
YHR017W_mRNA	0.020443771188873635	0.02769479800854462	0.04430721515306758	0.03498211830719197
YDL012C_mRNA	1.1203186611502753	0.8862335362734278	2.1156695235589766	1.9846521786280247
YGR249W_mRNA	0.0011682154965070649	0.0	0.0	0.0
YGL249W_mRNA	0.0	0.0	0.0	0.0
YHL028W_mRNA	0.02278020218188776	0.013293503044101419	0.0007912002705904924	0.0011660706102397326
YNL048W_mRNA	0.0467286198602826	0.045419468734013174	0.020571207035352805	0.03148390647647278
YLR157C_mRNA	0.0	0.0	0.0	0.0
YBR018C_mRNA	0.0023364309930141297	0.0011077919203417849	0.00949440324708591	0.006996423661438395
YDR206W_mRNA	0.02044377118887364	0.026587006088202837	0.02610960892948625	0.03264997708671251
YCR017C_mRNA	0.3580580496794154	0.29578044273125653	0.17406405952990833	0.2378784044889054
YER170W_mRNA	0.024532525426648362	0.01883246264581034	0.00949440324708591	0.012826776712637055
YKL145W_mRNA	0.6436867385753928	0.6347647703558427	1.1329987874855854	0.867556534018361
YPR133W-A_mRNA	0.13726532083958012	0.22045059214801518	0.21916247495356644	0.2926837231701729
YDR307W_mRNA	0.04848094310504319	0.06092855561879817	0.060131220564877436	0.08745529576797993
YIL105W-A_mRNA	0.0	0.0	0.0	0.0
YLR418C_mRNA	0.2540868704902866	0.3112895296160415	0.9177923138849713	0.6623281066161679
YBR196C_mRNA	11.818836178161972	11.331603553176114	6.099362885982106	5.7335691905487645
YPR182W_mRNA	0.15770909202845376	0.15730645268853344	0.15824005411809852	0.1690802384847612
YGL057C_mRNA	0.07126114528693096	0.056497387937431025	0.2974913017420252	0.16791416787452149
YMR073C_mRNA	0.1384335363360872	0.13625840620203952	0.3718641271775315	0.33116405330808396
YBR209W_mRNA	0.0	0.0	0.0	0.0
YFL021W_mRNA	0.00934572397205652	0.009970127283076063	0.01819760622358133	0.04431068318910984
YKR012C_mRNA	0.0	0.0	0.0	0.0
YKR066C_mRNA	0.7056021598902673	0.6347647703558428	1.717695787451959	1.6278345718946667
YJL218W_mRNA	0.028621279664423085	0.028802589928886402	0.02452720838830527	0.026819624035513846
YPR192W_mRNA	0.0011682154965070649	0.0022155838406835698	0.0	0.0
YKL178C_mRNA	0.0	0.0011077919203417849	0.0	0.0
YML092C_mRNA	1.1471876175699378	1.3559373104983445	1.8419142299346667	1.4400972036460697
YBR118W_mRNA	0.0	0.0	0.0	0.0
YDL046W_mRNA	0.29030155088200565	0.3168284892177505	0.6891354356843189	0.7054727191950382
YGL257C_mRNA	0.08527973124501574	0.08419218594597566	0.056175219211924976	0.08395708393726074
YER140W_mRNA	0.009345723972056519	0.008862335362734279	0.0213624073059433	0.017491059153595986
YLR273C_mRNA	0.004088754237774727	0.0033233757610253547	0.008703202976495418	0.005830353051198662
YKR098C_mRNA	0.009345723972056519	0.0033233757610253547	0.00870320297649542	0.012826776712637055
YGR122C-A_mRNA	0.0005841077482535324	0.0	0.005538401894133448	0.0
YDR469W_mRNA	0.04964915860155026	0.045419468734013174	0.053010418129562996	0.07346244844510315
YLR051C_mRNA	0.25291865499377947	0.28691810736852225	0.5989386048370029	0.4431068318910984
YMR077C_mRNA	0.05724255932884618	0.04985063641538032	0.18593206358876574	0.10727849614205538
YBR126W-A_mRNA	0.7464897022680145	0.5594349197726013	1.4384020919335154	2.235357359829567
YNL242W_mRNA	0.019859663440620103	0.017724670725468555	0.020571207035352805	0.012826776712637059
YKR081C_mRNA	0.6477754928131675	0.8153348533715536	0.6187186116017651	0.4594318204344545
YDR259C_mRNA	0.01401858595808478	0.0055389596017089236	0.05459281867074399	0.011660706102397325
YOL104C_mRNA	0.0	0.0	0.0	0.0
YEL074W_mRNA	0.0	0.0	0.0	0.0
YHR065C_mRNA	0.26109616346932907	0.23595967903280016	1.1092627793678707	0.9258600645303477
YLR081W_mRNA	0.0	0.0	0.0	0.0
YOL110W_mRNA	0.02628484867140896	0.024371422247519266	0.06092242083546792	0.0711303072246237
YDR400W_mRNA	0.08527973124501573	0.08529997786631743	0.06329602164723941	0.038480330137911176
YMR313C_mRNA	0.10572350243388938	0.08640776978665922	0.35999612311867407	0.30084621744185097
YNL270C_mRNA	0.0005841077482535324	0.0	0.0023736008117714773	0.0
YGR042W_mRNA	0.013434478209831246	0.015509086884784988	0.03560401217657216	0.020989270984315182
YCL051W_mRNA	0.01927555569236657	0.01883246264581034	0.030065610282438714	0.03964640074815091
YDR015C_mRNA	0.0	0.0	0.0	0.0
YHR175W-A_mRNA	0.0	0.0	0.0	0.0
YHR091C_mRNA	0.0216119866853807	0.029910381849228188	0.053010418129562996	0.043144612578870103
YDL168W_mRNA	0.2540868704902866	0.29688823465159836	0.5965650040252314	0.5154032097259617
YBR136W_mRNA	0.008761616223802986	0.009970127283076063	0.026900809200076745	0.01399284732287679
YNL225C_mRNA	0.057826667077099714	0.052066220256063896	0.212041672518252	0.14109454383900766
YOR215C_mRNA	0.25700740923155435	0.3201518649787758	0.769046663013959	0.47459073836757104
YLR103C_mRNA	0.04205575787425433	0.03988050913230425	0.012659204329447879	0.01399284732287679
YJR119C_mRNA	0.02453252542664836	0.017724670725468558	0.31252410688324456	0.18657129763835723
YLR413W_mRNA	0.22429737532935648	0.2536843497582687	0.0213624073059433	0.06413388356318529
YCR071C_mRNA	0.24941400850425835	0.20937267294459733	0.24764568469482418	0.27869087584729607
YMR057C_mRNA	0.0	0.0	0.0	0.0
YKR015C_mRNA	0.0	0.0	0.0	0.0
YHR100C_mRNA	0.10338707144087524	0.09194672938836813	0.04984561704720102	0.08045887210654154
YML066C_mRNA	0.0005841077482535324	0.0	0.0	0.0
YER163C_mRNA	0.13609710534307304	0.14955190924614095	0.26742569145958645	0.4815871620290095
YGR026W_mRNA	0.30899299882611864	0.3711102933144979	0.2531840865889576	0.253037322422022
YLR342W-A_mRNA	0.0	0.0	0.0	0.0
Q0080_mRNA	0.0	0.0	0.0	0.0
YBR212W_mRNA	0.05198558959456439	0.03877271721196247	0.1883056644005372	0.10844456675229514
YDL079C_mRNA	0.0	0.0	0.003956001352952462	0.0023321412204794652
YPR122W_mRNA	0.02278020218188776	0.03544934145093711	0.2373600811771478	0.1993980743509943
YPL089C_mRNA	0.02862127966442309	0.036557133371278895	0.2555576874007291	0.13759633200828844
YHR031C_mRNA	0.05665845158059264	0.035449341450937116	0.11947124085916436	0.1329320495673295
YOR322C_mRNA	0.05841077482535324	0.053174012176405674	0.15665765357691755	0.16324988543356256
YNL065W_mRNA	0.013434478209831246	0.013293503044101419	0.05775761975310595	0.018657129763835722
YDL045C_mRNA	0.0940413474688187	0.08086881018495029	0.11155923815325945	0.1037802843113362
YHR082C_mRNA	0.0952095629653258	0.0941623132290517	0.2745464938949009	0.15625346177212415
YLR346C_mRNA	0.013434478209831244	0.007754543442392494	0.02373600811771477	0.011660706102397325
YHR013C_mRNA	0.5029167712462914	0.5838063420201206	0.94785792416741	1.2068830815981233
YPL075W_mRNA	0.012266262713324181	0.016616878805126772	0.03481281190598167	0.020989270984315186
YDL173W_mRNA	0.10455528693738231	0.09527010514939349	0.15982245465927952	0.12593562590589114
YHL031C_mRNA	0.3533851876933871	0.293564858890573	0.49054416776610543	0.30900871171352917
YKR101W_mRNA	0.013434478209831246	0.016616878805126772	0.03243921109421019	0.031483906476472784
YHR162W_mRNA	0.9450863366742155	0.8884491201141114	4.059648588399816	3.2381780846357366
YGL154C_mRNA	0.016355016951098908	0.016616878805126772	0.051428017588382016	0.07462851905534289
YAL028W_mRNA	0.004088754237774727	0.0044311676813671395	0.04114241407070561	0.017491059153595986
YGL203C_mRNA	0.28562868889597737	0.21712721638698976	0.6242570134958987	0.45709967921397515
YMR272W-A_mRNA	0.0	0.0	0.0	0.0
YNL239W_mRNA	0.15069979904941136	0.16062982844955878	0.039560013529524624	0.04897496563006877
YNL182C_mRNA	0.1869144794411304	0.23706747095314196	0.18355846277699428	0.12593562590589114
YGR022C_mRNA	0.0	0.0	0.0	0.0
YKR009C_mRNA	0.0011682154965070649	0.0022155838406835698	0.00949440324708591	0.005830353051198662
