	si-Ctrl	si-eIF5A
YAL001C_mRNA	-0.1457270786606315	-0.3703118418334009
YAL002W_mRNA	-0.16677176594721232	-0.39788434776083736
YAL003W_mRNA	0.1420939965782396	-0.03386760663997275
YAL005C_mRNA	0.2673835299276339	0.3768784973483751
YAL007C_mRNA	-0.10048469498113205	-0.264308244781018
YAL008W_mRNA	-0.1385193154151319	-0.21690214758598414
YAL009W_mRNA	0.0410802055406613	
YAL010C_mRNA	-0.10820820307738224	-0.12216570536200295
YAL011W_mRNA	-0.3358760151306	-0.4618093658287611
YAL012W_mRNA	-0.04941688390565515	-0.1753682157679532
YAL013W_mRNA	0.07549515736135451	-0.04112424473752595
YAL014C_mRNA	0.06085949629311464	-0.00648799970536015
YAL015C_mRNA	-0.036847318236683496	-0.2196483218283981
YAL016W_mRNA	0.04401779645857865	0.0484780228874949
YAL017W_mRNA	-0.1593092874358915	-0.6795183765852143
YAL019W_mRNA	-0.1558341398820092	-0.4825747440864493
YAL020C_mRNA	-0.13969031105334834	-0.3138848040837968
YAL021C_mRNA	-0.11768065433866215	-0.33558254379790575
YAL022C_mRNA	-0.0389684501579779	-0.21356378970910278
YAL023C_mRNA	-0.028036170311239048	-0.10245973911159495
YAL024C_mRNA	-0.056485590373436353	-0.24099834618404248
YAL025C_mRNA	0.0016589631649061003	0.13451287855286403
YAL026C-A_mRNA	-0.6017601760176018	
YAL026C_mRNA	-0.11870221608662265	-0.33308317008846255
YAL028W_mRNA		-0.3594872172662919
YAL029C_mRNA	-0.14667069227697216	-0.24916670763759247
YAL030W_mRNA	0.06984716144454481	-0.1570311285181153
YAL031C_mRNA	-0.14737627970232045	-0.2670745660019057
YAL032C_mRNA	0.05689506068039515	-0.1351649232192629
YAL033W_mRNA	-0.08742044634404665	-0.33092790136516137
YAL034C_mRNA		-0.0150152844424836
YAL034W-A_mRNA	0.2054601745004221	
YAL035W_mRNA	-0.13498022576496516	-0.21518284973623075
YAL036C_mRNA	-0.09539503409757975	-0.42128939305801816
YAL038W_mRNA	-0.08389483750197395	-0.36044823105264345
YAL039C_mRNA	0.022654514823777748	-0.2804670423172328
YAL040C_mRNA	-0.20446560289261556	-0.32079535647139895
YAL041W_mRNA	-0.1746820102991809	-0.2756535518707808
YAL042W_mRNA	-0.11636767576747716	-0.28894402436083844
YAL043C_mRNA	0.0061110523544828	-0.0319243573880973
YAL044C_mRNA	-0.11627057744917454	-0.1525988151849086
YAL044W-A_mRNA	0.04869321982365455	-0.1192915709459198
YAL046C_mRNA	-0.012438829521621848	-0.0823253473198626
YAL047C_mRNA	-0.005537427102971303	-0.2867147144404994
YAL048C_mRNA	-0.10567941249470744	-0.42158309592007065
YAL049C_mRNA	-0.11283516474445421	-0.2874136596548556
YAL051W_mRNA	-0.24375690181558352	-0.5351510587171995
YAL053W_mRNA	-0.049544800450374946	-0.16398679155984258
YAL055W_mRNA	-0.1566732154551407	-0.3231087732640429
YAL056W_mRNA	-0.10813530088156385	-0.14213849626825026
YAL058W_mRNA	-0.1065204594679584	-0.13345280162424233
YAL059W_mRNA	0.2187434060137155	0.390111286511695
YAL060W_mRNA	-0.11618135602760835	-0.32080874049597186
YAL061W_mRNA		-0.30020181422908654
YAR002C-A_mRNA	-0.0355260756539783	-0.1499796994653319
YAR002W_mRNA	0.12044899757715485	0.0192208976224841
YAR003W_mRNA	-0.1189157007120118	-0.304681610132457
YAR007C_mRNA	-0.07816856846168466	-0.13703851115488705
YAR008W_mRNA	-0.0189263513045085	
YAR014C_mRNA	-0.0781585165774097	-0.23597931224343816
YAR015W_mRNA	-0.0536096850254353	-0.235227149889597
YAR018C_mRNA	-0.2755972541823686	-0.516363192042125
YAR019C_mRNA	-0.1042410272040318	-0.24422547310555348
YAR027W_mRNA	0.1226960908165031	-0.1404958280489812
YAR028W_mRNA	0.10161600712810855	0.1409639547567422
YAR042W_mRNA	-0.2016863812031912	-0.4117555818393016
YAR071W_mRNA	0.4369112442588182	
YBL001C_mRNA	0.1136875771052771	-0.14333061172851225
YBL002W_mRNA	0.12528472421478995	0.1972796855740696
YBL003C_mRNA	0.08738868689856549	-0.016911954079040448
YBL004W_mRNA	-0.08499053578000945	-0.44910023431098833
YBL005W_mRNA	-0.158272862794782	-0.3971268380203839
YBL006C_mRNA	0.0309691342757838	-0.09083174363299695
YBL007C_mRNA	0.0653797525355086	-0.17271260270390806
YBL008W_mRNA	-0.19538740794423695	-0.2635405307161032
YBL009W_mRNA	-0.18262563271068677	-0.3743500452814996
YBL010C_mRNA	-0.0018799949843429	-0.20410637595166964
YBL011W_mRNA	-0.13108860878073242	-0.3700868238379032
YBL013W_mRNA	-0.0981431821875508	-0.4168941979522185
YBL014C_mRNA	-0.23626625832845305	-0.4686977765780085
YBL015W_mRNA	-0.20765739124238425	-0.3422099039956808
YBL016W_mRNA	-0.13631946540116274	-0.32135673499818995
YBL017C_mRNA	-0.0453966473816767	-0.047586296296671396
YBL018C_mRNA	-0.03403588161951275	-0.16731743763545048
YBL020W_mRNA	-0.12352320292717944	-0.20503340878348514
YBL021C_mRNA	0.21784404466386387	0.16423831844181974
YBL022C_mRNA	-0.03658210619697795	-0.15846751115401114
YBL023C_mRNA	-0.1935185005247001	-0.494955725125776
YBL024W_mRNA	-0.0707364036078997	-0.24034119756080197
YBL025W_mRNA	0.17465727341964965	0.0077377485647724
YBL026W_mRNA	0.087952976466177	-0.13378945763647676
YBL027W_mRNA	-0.00459690853057395	-0.08073082278709931
YBL028C_mRNA	0.27439161086637837	0.23805067070349195
YBL029C-A_mRNA	0.0801989175912836	-0.0085950866060338
YBL030C_mRNA	0.00646891946905025	-0.18436608368040708
YBL031W_mRNA	0.0545612038314716	
YBL032W_mRNA	0.0244614938346578	-0.0739553973820444
YBL033C_mRNA	-0.05648847298219195	-0.37958372940460267
YBL034C_mRNA	0.013859147590462449	-0.0802668993384635
YBL035C_mRNA	0.0088052073783616	-0.159353857936656
YBL036C_mRNA	0.007997893105382752	-0.07875183895991715
YBL037W_mRNA	-0.1612791622759695	-0.19791352346652386
YBL038W_mRNA	-0.112622973779473	0.0036047716684444037
YBL039C-A_mRNA	0.11997050147492619	0.26653569311542047
YBL039C_mRNA	-0.0297943032075305	-0.2248227126563762
YBL040C_mRNA	0.017718979128708602	-0.27030742436978056
YBL041W_mRNA	-0.0719727474431284	-0.23725113281697113
YBL042C_mRNA	-0.1055648943801642	-0.1996022271015016
YBL045C_mRNA	-0.0924357512648859	-0.20441943994187373
YBL046W_mRNA	-0.07534788108791901	-0.07341317982398365
YBL047C_mRNA	-0.059159306468525144	-0.25810032646819814
YBL050W_mRNA	-0.0698639120223967	-0.3366558644043438
YBL051C_mRNA	0.0459105033934856	-0.06466444663194
YBL052C_mRNA	-0.32610346189078376	-0.35789276932148584
YBL054W_mRNA	0.067191086771168	-0.10913406493178861
YBL055C_mRNA	-0.10515367345239765	-0.27829452390981413
YBL056W_mRNA	-0.1498302593403272	-0.1020284799010984
YBL057C_mRNA	-0.01816598720940385	0.10528637377056835
YBL058W_mRNA	0.052133807713273556	0.03082241149675315
YBL059C-A_mRNA	0.24750835854243436	0.1556407226899029
YBL059W_mRNA		-0.07110491338925805
YBL060W_mRNA	-0.047126436781609146	-0.19642498980615156
YBL061C_mRNA	-0.1497701416020274	-0.37358873561844497
YBL063W_mRNA	-0.24599896166825294	
YBL064C_mRNA	-0.12394422242235481	-0.2587845055732312
YBL066C_mRNA	-0.2017540782265225	-0.31052507447048683
YBL067C_mRNA	-0.10891566899954515	-0.40326091878876785
YBL068W-A_mRNA	-0.0680374098664953	
YBL068W_mRNA	-0.01852131552734075	0.08559378625893904
YBL069W_mRNA	-0.08421976125311365	-0.302429209360288
YBL071W-A_mRNA	0.11905764902764145	0.17466204657357953
YBL072C_mRNA	-0.7078776548900534	-0.7193487821047475
YBL074C_mRNA	-0.1927681302346435	-0.23440062539633946
YBL075C_mRNA		0.059998572605206954
YBL076C_mRNA	-0.1124920634030881	-0.43209834084262433
YBL078C_mRNA	-0.0081513443700834	-0.10878359374999996
YBL079W_mRNA	-0.2744872629291061	-0.44822417991691726
YBL080C_mRNA	-0.16459125634220706	-0.3083578715599111
YBL081W_mRNA	-0.013132078649319999	0.05967881794053215
YBL082C_mRNA	-0.07363946117845935	-0.0920370835856178
YBL083C_mRNA	-0.06769953671123616	
YBL084C_mRNA	-0.1584737114776931	-0.2528526263748667
YBL085W_mRNA	-0.050915198440873596	-0.2957019408023914
YBL086C_mRNA	-0.1197994633991343	-0.1903934108539194
YBL087C_mRNA	-0.02326727638491025	-0.14842446210418395
YBL088C_mRNA	-0.15293515670013355	-0.3646510080825579
YBL089W_mRNA	-0.214346629554444	-0.28323809939840927
YBL090W_mRNA	0.09233947610899035	-0.015851775956284155
YBL091C-A_mRNA	0.06340455017192295	-0.03741149124262385
YBL091C_mRNA	-0.1136652291709633	-0.3548929107477774
YBL092W_mRNA	-0.10717361822202046	-0.2839108164095713
YBL093C_mRNA	-0.0503869622080792	-0.0348907425906765
YBL095W_mRNA	-0.0419751349640388	-0.4260916151352872
YBL097W_mRNA	-0.09653980560320495	-0.15393824094076508
