	si-Ctrl-1	si-Ctrl-2	si-eIF5A-1	si-eIF5A-2
YHL011C_mRNA	-0.15934682390517618	-0.15898390325995782	-0.586069655196361	-0.40145326501041506
YJL156C_mRNA	-0.08228362414311463	-0.14293340344754776	-0.2609911465534575	-0.06821364590834167
YKR075C_mRNA	-0.046246813332074366	0.013011235955056155	0.2686378868519614	-0.01697877652933838
YMR120C_mRNA	-0.11464460608722332	-0.13129302765354353	-0.3244936396695073	-0.23311570357041572
YGL150C_mRNA	-0.16054024385462812	-0.19425536838577367	-0.22511017902040342	-0.17498434996418005
YCR047C_mRNA	-0.06434463178223199	-0.10069177038738472	-0.23424319467658522	-0.13437115576123249
YER050C_mRNA	0.1423927095743872	0.11576384528098183	0.060946246609299926	0.0845633292481483
YLR036C_mRNA	0.07657589890176031	0.08384673812136045	-0.29394046775336646	-0.12213044610633628
YDL019C_mRNA	-0.1385496953489013	-0.1421395965405544	-0.3063193946751578	-0.2517235542355568
YGR279C_mRNA	0.15920352639349855	0.15486137676025064	0.15087440799440527	0.18310758111245007
YGR175C_mRNA	-0.07739866260935091	-0.060794377130522104	-0.2879620573738648	-0.23468648026802222
YMR108W_mRNA	-0.10556552796660645	-0.10258175280607701	-0.40844089181547505	-0.3521332554061952
YDR430C_mRNA	-0.11077755054585348	-0.14803359106833225	-0.3848466262108695	-0.352988213748613
YDR058C_mRNA	0.061580429426258326	-0.01190804971164	-0.323334245896724	-0.12576557550158396
YIL068C_mRNA	0.0014148323712082078	-0.04331759505382343	-0.12942291963115254	-0.014408470737702683
YDL030W_mRNA	-0.05484645155710588	-0.10551941109991142	-0.24084927406339973	-0.12546029030955264
YKL173W_mRNA	-0.11317227028604737	-0.09875269015016144	-0.3556887495008303	-0.16939700947004077
YPR108W_mRNA	-0.030031931226529085	-0.09017039378864661	-0.19630013060729296	-0.07565118557934442
YMR222C_mRNA	-0.08980601605723215	-0.024430779458201768	-0.3120837083708371	-0.3133816176892673
YNL158W_mRNA	-0.08016232124567294	-0.02231079149157389	-0.04904429893162959	-0.0008334471922393782
YDR180W_mRNA	-0.08152852717825737	-0.10322841726618706	-0.46433043438666793	-0.28071104760027593
YNL110C_mRNA	0.08878939325288718	0.14035205611918772	-0.021991751226713846	0.00729901876398692
YGL187C_mRNA	-0.12043086985854937	-0.002132523169279976	-0.051863283652964054	0.10243479781994302
YGR179C_mRNA	-0.16061277878774444	-0.10882219519912173	-0.28916407939154365	-0.1551176243140609
YOR371C_mRNA	-0.0746748528125046	-0.12388610414926204	-0.26377518976438713	-0.30414085066037533
YNL123W_mRNA	-0.033376837889187494	-0.037103942534767786	-0.15443900075374176	-0.11723584606971188
YJL179W_mRNA	-0.14979823573573575	0.0014792899408284377	-0.1751633149737415	-0.08102745602745606
YNL050C_mRNA	0.12413216030754962	0.16338419596892662	-0.08254822737410014	-0.06821338760164913
YKL149C_mRNA	-0.14673238812583073	-0.14329380400808966	-0.3546557506411522	-0.34854334854334856
YCR036W_mRNA	-0.08263351995023546	-0.07964155295022102	-0.29537359032480603	-0.15044686761331286
YLR099C_mRNA	-0.052313812310636976	-0.18681088068766077	-0.2724159206235284	-0.1484095955208031
YKR098C_mRNA	-0.14214182044370724			
YBR071W_mRNA	-0.01400634249471458	-0.03697733393618907	-0.062441434534457774	0.05309786093139829
YFR043C_mRNA	0.002028811524609847	-0.049556048834628164	-0.13441325768886236	-0.06373814041745729
YDR001C_mRNA	-0.24705446464682818	-0.22704770477047695	-0.5522907366695193	-0.4548577012751063
YOL059W_mRNA	0.08001976186323434	0.08913214079113169	-0.08969776280350389	-0.060730685245813265
YNL154C_mRNA	-0.08970127525914046	-0.14272144398805126	-0.20903861813450522	-0.15974413848719723
YDR014W_mRNA	-0.172321637883879			
YDR371W_mRNA	-0.040992961765265346	-0.021844291998853904	-0.2029846091097756	-0.023266275596501962
YML077W_mRNA	-0.13552566018933737	-0.1433812823947353	-0.35894306635636025	-0.3926346283582682
YOR355W_mRNA	0.008570660132086183	0.06643974638868932	-0.18371674809989139	-0.11206096069096644
YBR093C_mRNA	0.05295429019833453	-0.029433127711029405	-0.2748981943910872	-0.17883920345829496
YOR034C_mRNA	-0.06370508777829245	-0.06656334529686034	-0.26196620499375434	-0.09639984081412215
YOR175C_mRNA	-0.12592079362036135	-0.14893945202858583	-0.20766181609555096	-0.10362221536767952
YMR211W_mRNA	-0.13359701164579213		-0.4400319184949946	-0.2823763651802184
YIL148W_mRNA	0.24027998972261252	0.238050452895267	-0.028440314009323536	-0.19100180363299674
YPL065W_mRNA	-0.07558493745544101		-0.2438771563394446	
YIR025W_mRNA	-0.23955380905256485		-0.21902524185185676	
YNL232W_mRNA	0.013718258285350393	0.08575185498262419	-0.08359731732030301	-0.05050801636394564
YBR218C_mRNA	-0.060044321874778483	-0.12918141920775147	-0.23718439819893225	-0.19454039006526158
YPL029W_mRNA	0.022046433252199932			
