chrom	trans_id	strand	gene_id	gene_name	transcript_biotype	gene_start	gene_stop	CDS_start	CDS_stop	CDS_length	5UTR_length	3UTR_length	transcript_length
Mito	Q0010_mRNA	+	Q0010	Q0010	protein_coding	3952	4338	1	387	387	0	0	387
Mito	Q0017_mRNA	+	Q0017	Q0017	protein_coding	4254	4415	1	162	162	0	0	162
Mito	Q0032_mRNA	+	Q0032	Q0032	protein_coding	11667	11957	1	291	291	0	0	291
Mito	Q0045_mRNA	+	Q0045	COX1	protein_coding	13818	26701	1	1605	1605	0	0	1605
Mito	Q0050_mRNA	+	Q0050	AI1	protein_coding	13818	16322	1	2505	2505	0	0	2505
Mito	Q0055_mRNA	+	Q0055	AI2	protein_coding	13818	18830	1	2565	2565	0	0	2565
Mito	Q0060_mRNA	+	Q0060	AI3	protein_coding	13818	19996	1	1248	1248	0	0	1248
Mito	Q0065_mRNA	+	Q0065	AI4	protein_coding	13818	21935	1	1671	1671	0	0	1671
Mito	Q0070_mRNA	+	Q0070	AI5_ALPHA	protein_coding	13818	23167	1	1893	1893	0	0	1893
Mito	Q0075_mRNA	+	Q0075	AI5_BETA	protein_coding	24156	25255	1	1065	1065	0	0	1065
Mito	Q0080_mRNA	+	Q0080	ATP8	protein_coding	27666	27812	1	147	147	0	0	147
Mito	Q0085_mRNA	+	Q0085	ATP6	protein_coding	28487	29266	1	780	780	0	0	780
Mito	Q0092_mRNA	+	Q0092	Q0092	protein_coding	30874	31014	1	141	141	0	0	141
Mito	Q0105_mRNA	+	Q0105	COB	protein_coding	36540	43647	1	1158	1158	0	0	1158
Mito	Q0110_mRNA	+	Q0110	BI2	protein_coding	36540	38579	1	1272	1272	0	0	1272
Mito	Q0115_mRNA	+	Q0115	BI3	protein_coding	36540	40265	1	1554	1554	0	0	1554
Mito	Q0120_mRNA	+	Q0120	BI4	protein_coding	36540	42251	1	1917	1917	0	0	1917
Mito	Q0130_mRNA	+	Q0130	OLI1	protein_coding	46723	46953	1	231	231	0	0	231
Mito	Q0140_mRNA	+	Q0140	VAR1	protein_coding	48901	50097	1	1197	1197	0	0	1197
Mito	Q0142_mRNA	+	Q0142	Q0142	protein_coding	51052	51228	1	177	177	0	0	177
Mito	Q0143_mRNA	+	Q0143	Q0143	protein_coding	51277	51429	1	153	153	0	0	153
Mito	Q0144_mRNA	+	Q0144	Q0144	protein_coding	54109	54438	1	330	330	0	0	330
Mito	Q0160_mRNA	+	Q0160	SCEI	protein_coding	61022	61729	1	708	708	0	0	708
Mito	Q0182_mRNA	+	Q0182	Q0182	protein_coding	65770	66174	1	405	405	0	0	405
Mito	Q0250_mRNA	+	Q0250	COX2	protein_coding	73758	74513	1	756	756	0	0	756
Mito	Q0255_mRNA	+	Q0255	Q0255	protein_coding	74495	75984	1	1419	1419	0	0	1419
Mito	Q0275_mRNA	+	Q0275	COX3	protein_coding	79213	80022	1	810	810	0	0	810
Mito	Q0297_mRNA	+	Q0297	Q0297	protein_coding	85554	85709	1	156	156	0	0	156
I	YAL001C_mRNA	-	YAL001C	TFC3	protein_coding	147594	151166	1	3483	3483	0	0	3483
I	YAL002W_mRNA	+	YAL002W	VPS8	protein_coding	143707	147531	1	3825	3825	0	0	3825
I	YAL003W_mRNA	+	YAL003W	EFB1	protein_coding	142174	143160	1	621	621	0	0	621
I	YAL004W_mRNA	+	YAL004W	YAL004W	protein_coding	140760	141407	1	648	648	0	0	648
I	YAL005C_mRNA	-	YAL005C	SSA1	protein_coding	139503	141431	1	1929	1929	0	0	1929
I	YAL007C_mRNA	-	YAL007C	ERP2	protein_coding	137698	138345	1	648	648	0	0	648
I	YAL008W_mRNA	+	YAL008W	FUN14	protein_coding	136914	137510	1	597	597	0	0	597
I	YAL009W_mRNA	+	YAL009W	SPO7	protein_coding	135854	136633	1	780	780	0	0	780
I	YAL010C_mRNA	-	YAL010C	MDM10	protein_coding	134184	135665	1	1482	1482	0	0	1482
I	YAL011W_mRNA	+	YAL011W	SWC3	protein_coding	132199	134076	1	1878	1878	0	0	1878
I	YAL012W_mRNA	+	YAL012W	CYS3	protein_coding	130799	131983	1	1185	1185	0	0	1185
I	YAL013W_mRNA	+	YAL013W	DEP1	protein_coding	129270	130487	1	1218	1218	0	0	1218
I	YAL014C_mRNA	-	YAL014C	SYN8	protein_coding	128252	129019	1	768	768	0	0	768
I	YAL015C_mRNA	-	YAL015C	NTG1	protein_coding	126903	128102	1	1200	1200	0	0	1200
I	YAL016C-A_mRNA	-	YAL016C-A	YAL016C-A	protein_coding	124755	125069	1	315	315	0	0	315
I	YAL016C-B_mRNA	-	YAL016C-B	YAL016C-B	protein_coding	124307	124492	1	186	186	0	0	186
I	YAL016W_mRNA	+	YAL016W	TPD3	protein_coding	124879	126786	1	1908	1908	0	0	1908
I	YAL017W_mRNA	+	YAL017W	PSK1	protein_coding	120225	124295	1	4071	4071	0	0	4071
I	YAL018C_mRNA	-	YAL018C	LDS1	protein_coding	118564	119541	1	978	978	0	0	978
I	YAL019W-A_mRNA	+	YAL019W-A	YAL019W-A	protein_coding	114250	114819	1	570	570	0	0	570
I	YAL019W_mRNA	+	YAL019W	FUN30	protein_coding	114919	118314	1	3396	3396	0	0	3396
I	YAL020C_mRNA	-	YAL020C	ATS1	protein_coding	113614	114615	1	1002	1002	0	0	1002
I	YAL021C_mRNA	-	YAL021C	CCR4	protein_coding	110846	113359	1	2514	2514	0	0	2514
I	YAL022C_mRNA	-	YAL022C	FUN26	protein_coding	108877	110430	1	1554	1554	0	0	1554
I	YAL023C_mRNA	-	YAL023C	PMT2	protein_coding	106272	108551	1	2280	2280	0	0	2280
I	YAL024C_mRNA	-	YAL024C	LTE1	protein_coding	101565	105872	1	4308	4308	0	0	4308
I	YAL025C_mRNA	-	YAL025C	MAK16	protein_coding	100225	101145	1	921	921	0	0	921
I	YAL026C-A_mRNA	-	YAL026C-A	YAL026C-A	protein_coding	95386	95823	1	438	438	0	0	438
I	YAL026C_mRNA	-	YAL026C	DRS2	protein_coding	95630	99697	1	4068	4068	0	0	4068
I	YAL027W_mRNA	+	YAL027W	SAW1	protein_coding	94687	95472	1	786	786	0	0	786
I	YAL028W_mRNA	+	YAL028W	FRT2	protein_coding	92900	94486	1	1587	1587	0	0	1587
I	YAL029C_mRNA	-	YAL029C	MYO4	protein_coding	87855	92270	1	4416	4416	0	0	4416
I	YAL030W_mRNA	+	YAL030W	SNC1	protein_coding	87286	87752	1	354	354	0	0	354
I	YAL031C_mRNA	-	YAL031C	GIP4	protein_coding	84749	87031	1	2283	2283	0	0	2283
I	YAL031W-A_mRNA	+	YAL031W-A	YAL031W-A	protein_coding	84669	84977	1	309	309	0	0	309
I	YAL032C_mRNA	-	YAL032C	PRP45	protein_coding	83335	84474	1	1140	1140	0	0	1140
I	YAL033W_mRNA	+	YAL033W	POP5	protein_coding	82706	83227	1	522	522	0	0	522
I	YAL034C-B_mRNA	-	YAL034C-B	YAL034C-B	protein_coding	79489	79842	1	354	354	0	0	354
I	YAL034C_mRNA	-	YAL034C	FUN19	protein_coding	80710	81951	1	1242	1242	0	0	1242
I	YAL034W-A_mRNA	+	YAL034W-A	MTW1	protein_coding	79718	80587	1	870	870	0	0	870
I	YAL035W_mRNA	+	YAL035W	FUN12	protein_coding	76427	79435	1	3009	3009	0	0	3009
I	YAL036C_mRNA	-	YAL036C	RBG1	protein_coding	75043	76152	1	1110	1110	0	0	1110
I	YAL037C-A_mRNA	-	YAL037C-A	YAL037C-A	protein_coding	73426	73518	1	93	93	0	0	93
I	YAL037C-B_mRNA	-	YAL037C-B	YAL037C-B	protein_coding	72326	73300	1	975	975	0	0	975
I	YAL037W_mRNA	+	YAL037W	YAL037W	protein_coding	74020	74823	1	804	804	0	0	804
I	YAL038W_mRNA	+	YAL038W	CDC19	protein_coding	71786	73288	1	1503	1503	0	0	1503
I	YAL039C_mRNA	-	YAL039C	CYC3	protein_coding	68716	69525	1	810	810	0	0	810
I	YAL040C_mRNA	-	YAL040C	CLN3	protein_coding	65778	67520	1	1743	1743	0	0	1743
I	YAL041W_mRNA	+	YAL041W	CDC24	protein_coding	62840	65404	1	2565	2565	0	0	2565
I	YAL042C-A_mRNA	-	YAL042C-A	YAL042C-A	protein_coding	61231	61608	1	378	378	0	0	378
