si-Ctrl-2	start_codon
transcript_id	codon_1	codon_2	codon_3	codon_4	codon_5	codon_6	codon_7	codon_8	codon_9	codon_10	codon_11	codon_12	codon_13	codon_14	codon_15	codon_16	codon_17	codon_18	codon_19	codon_20	codon_21	codon_22	codon_23	codon_24	codon_25	codon_26	codon_27	codon_28	codon_29	codon_30	codon_31	codon_32	codon_33	codon_34	codon_35	codon_36	codon_37	codon_38	codon_39	codon_40	codon_41	codon_42	codon_43	codon_44	codon_45	codon_46	codon_47	codon_48	codon_49	codon_50	codon_51	codon_52	codon_53	codon_54	codon_55	codon_56	codon_57	codon_58	codon_59	codon_60	codon_61	codon_62	codon_63	codon_64	codon_65	codon_66	codon_67	codon_68	codon_69	codon_70	codon_71	codon_72	codon_73	codon_74	codon_75	codon_76	codon_77	codon_78	codon_79	codon_80	codon_81	codon_82	codon_83	codon_84	codon_85	codon_86	codon_87	codon_88	codon_89	codon_90	codon_91	codon_92	codon_93	codon_94	codon_95	codon_96	codon_97	codon_98	codon_99	codon_100
YMR303C_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.372000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.372000	0.000000	0.000000	0.000000	1.372000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.744000	2.744000	0.000000	2.744000	0.000000	0.000000	0.000000	1.372000	0.000000	0.000000	0.000000	0.000000	1.372000	1.372000	0.000000	0.000000	0.000000	0.000000	5.488000	216.776000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
YDR266C_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.516287	0.516287	0.000000	0.000000	0.516287	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.032573	0.000000	0.516287	0.516287	0.000000	0.000000	0.516287	0.000000	2.581433	0.000000	0.516287	3.614007	0.516287	1.032573	0.516287	0.000000	1.032573	0.516287	0.000000	0.000000	1.032573	0.000000	0.000000	1.032573	1.548860	2.065147	0.000000	1.548860	0.000000	2.581433	0.000000	2.581433	2.065147	0.516287	0.516287	0.000000	1.032573	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.516287	0.000000	0.000000	0.000000	1.032573	0.000000	1.548860	0.000000	0.516287	0.000000	1.032573	3.614007	3.614007	5.162866	1.032573	0.000000	0.000000	1.548860	1.032573	1.032573	1.032573	0.516287	1.032573	1.032573	1.548860	2.065147	6.195440	0.516287	1.548860	0.516287	1.032573	0.000000	0.000000	1.032573	0.516287	1.032573
YML048W_mRNA	0.000000	0.000000	0.000000	0.000000	1.592000	0.530667	0.530667	0.000000	0.000000	1.592000	0.530667	0.000000	0.000000	6.368000	0.000000	0.530667	1.061333	3.714667	3.184000	1.061333	0.000000	0.000000	0.530667	1.061333	0.000000	0.000000	0.000000	0.000000	0.000000	1.592000	0.000000	0.530667	0.000000	1.061333	5.306667	0.530667	0.000000	0.000000	0.530667	0.000000	0.530667	0.000000	1.592000	6.368000	1.061333	1.592000	2.122667	9.021333	1.592000	2.122667	0.530667	1.061333	0.000000	0.000000	3.184000	0.000000	1.061333	0.000000	5.837333	0.000000	0.530667	4.776000	0.000000	0.530667	2.122667	2.653333	3.714667	1.592000	3.184000	7.960000	1.592000	1.592000	0.530667	0.530667	1.061333	2.122667	1.592000	1.592000	0.000000	3.184000	0.530667	0.000000	2.653333	0.000000	2.122667	5.306667	2.122667	1.061333	0.530667	0.000000	1.592000	4.776000	0.000000	0.530667	0.530667	2.122667	2.653333	7.429333	0.000000	1.592000
YPR155C_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.600000	0.000000	0.000000	0.000000	2.600000	0.000000	0.000000	0.000000	0.000000	2.600000	0.000000	0.000000	2.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.600000	0.000000	2.600000	0.000000	2.600000	0.000000	0.000000	0.000000	0.000000	0.000000	2.600000	2.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.600000	0.000000	0.000000	0.000000	0.000000	2.600000	2.600000	0.000000	2.600000	0.000000	0.000000	2.600000	0.000000	2.600000	0.000000	5.200000	2.600000	2.600000	2.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.600000	0.000000	7.800000	0.000000	2.600000	5.200000	0.000000	2.600000	0.000000	0.000000
YPL260W_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.591772	0.000000	0.863924	0.863924	2.591772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.591772	0.000000	0.000000	1.727848	0.863924	1.727848	0.000000	1.727848	0.000000	0.863924	0.000000	0.000000	2.591772	6.911392	0.863924	3.455696	0.863924	5.183544	3.455696	0.863924	2.591772	2.591772	0.863924	0.000000	0.000000	3.455696	0.000000	0.000000	1.727848	2.591772	2.591772	0.000000	0.000000	1.727848	3.455696	1.727848	2.591772	1.727848	0.000000	0.000000	3.455696	0.863924	0.863924	1.727848	3.455696	1.727848	0.000000	0.000000	2.591772	1.727848	0.000000	0.000000	0.000000	0.863924	0.863924	0.000000	0.000000	0.000000	1.727848	1.727848	0.000000	0.000000	0.000000	0.000000	0.863924	0.863924	0.000000	2.591772	0.863924	11.231013	0.863924	0.000000	0.863924	4.319620	2.591772	1.727848	0.863924	0.000000	0.000000
YBR029C_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.696993	0.348497	0.000000	0.348497	0.000000	0.348497	0.000000	1.742483	0.348497	0.000000	0.348497	0.000000	0.000000	0.348497	0.000000	0.348497	0.696993	0.348497	0.000000	0.348497	0.000000	0.348497	0.000000	0.348497	0.000000	0.696993	1.045490	0.348497	1.393986	1.393986	2.090979	0.348497	1.045490	0.000000	0.348497	1.393986	0.348497	0.348497	3.833462	0.000000	0.000000	0.000000	0.000000	1.045490	0.000000	1.045490	1.045490	1.045490	0.000000	0.000000	0.000000	2.439476	0.696993	1.393986	0.696993	0.348497	0.696993	0.696993	0.348497	5.227448	1.045490	5.227448	9.060910	2.090979	3.136469	1.393986	0.000000	2.439476	3.484965	3.833462	0.696993	0.000000	0.696993	0.000000	1.045490	2.439476	0.696993	3.833462	2.090979	3.833462	1.742483	0.348497	8.363917	2.090979	1.742483	3.136469	5.227448	2.090979	0.696993	0.000000	2.439476	1.045490	1.742483	0.000000	2.090979
YJL001W_mRNA	0.000000	0.000000	0.000000	0.000000	0.406583	0.000000	0.813166	0.000000	0.000000	1.016457	1.219748	0.000000	0.000000	0.406583	0.609874	0.000000	0.000000	0.000000	0.203291	0.000000	4.269119	1.016457	0.000000	5.285576	1.423040	0.000000	0.609874	0.813166	0.813166	3.049371	6.911907	2.439497	2.236205	0.813166	1.016457	1.219748	2.236205	1.423040	0.609874	0.203291	0.000000	0.000000	0.406583	0.406583	0.813166	0.406583	1.016457	6.505324	0.609874	0.406583	2.032914	0.813166	0.813166	0.406583	0.406583	0.813166	2.032914	1.626331	3.252662	7.725073	1.219748	1.423040	4.269119	1.016457	0.203291	0.406583	0.813166	1.219748	1.219748	2.236205	0.406583	1.423040	0.609874	0.406583	2.032914	2.032914	0.406583	4.065828	1.219748	0.813166	2.439497	0.000000	0.406583	0.000000	1.016457	0.203291	4.269119	1.829622	0.406583	0.609874	1.219748	3.455954	5.488867	1.016457	1.219748	0.203291	0.203291	1.626331	2.032914	0.000000
YBL004W_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.483034	4.966068	0.000000	0.000000	0.000000	0.000000	0.000000	12.415170	0.000000	0.000000	2.483034	2.483034	0.000000	0.000000	4.966068	9.932136	0.000000	9.932136	0.000000	0.000000	2.483034	2.483034	4.966068	0.000000	2.483034	0.000000	0.000000	0.000000	4.966068	0.000000	2.483034	0.000000	0.000000	2.483034	9.932136	7.449102	2.483034	0.000000	0.000000	0.000000	0.000000	2.483034	2.483034	0.000000	0.000000	2.483034	0.000000	0.000000	2.483034	2.483034	0.000000	2.483034	0.000000	7.449102	0.000000	2.483034	0.000000	0.000000	4.966068	7.449102	14.898204	0.000000	0.000000	2.483034	0.000000	0.000000	2.483034	12.415170	2.483034	0.000000	0.000000	0.000000	0.000000	0.000000	4.966068	2.483034	0.000000	0.000000	0.000000	4.966068	0.000000	0.000000	0.000000	0.000000	2.483034	0.000000	0.000000	2.483034	0.000000	2.483034	0.000000	0.000000	2.483034	2.483034
YHR050W_mRNA	0.000000	0.000000	0.000000	1.935943	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.871886	0.000000	1.935943	0.000000	1.935943	3.871886	0.000000	0.000000	15.487544	0.000000	0.000000	0.000000	0.000000	11.615658	0.000000	0.000000	13.551601	1.935943	0.000000	0.000000	5.807829	0.000000	0.000000	0.000000	0.000000	5.807829	3.871886	0.000000	1.935943	0.000000	1.935943	1.935943	1.935943	0.000000	0.000000	3.871886	0.000000	0.000000	7.743772	1.935943	0.000000	5.807829	0.000000	0.000000	11.615658	0.000000	3.871886	5.807829	1.935943	5.807829	1.935943	0.000000	0.000000	1.935943	0.000000	1.935943	0.000000	11.615658	1.935943	0.000000	0.000000	5.807829	0.000000	0.000000	0.000000	0.000000	1.935943	1.935943	1.935943	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.935943	0.000000	0.000000	7.743772
YLR133W_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.371212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.185606	0.000000	0.000000	0.000000	4.371212	4.371212	0.000000	2.185606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.371212	0.000000	0.000000	2.185606	4.371212	4.371212	4.371212	0.000000	0.000000	4.371212	0.000000	2.185606	4.371212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.371212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.185606	0.000000	0.000000	0.000000	2.185606	8.742424	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.371212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.185606	4.371212	0.000000	0.000000	2.185606	4.371212	2.185606	4.371212	0.000000	0.000000	0.000000	0.000000	0.000000
