transcripts	A	T/U	C	G	GC	total	GC%
Q0297_mRNA	56	30	35	35	70	156	0.44871794871794873
YLR168C_mRNA	250	177	113	153	266	693	0.3838383838383838
YDR324C_mRNA	810	665	386	470	856	2331	0.36722436722436724
YER031C_mRNA	220	171	122	159	281	672	0.4181547619047619
YJL003W_mRNA	116	104	48	89	137	357	0.38375350140056025
YEL065W_mRNA	501	630	364	392	756	1887	0.40063593004769477
YDL077C_mRNA	1105	918	554	573	1127	3150	0.35777777777777775
YGR118W_mRNA	133	118	75	112	187	438	0.4269406392694064
YPL183W-A_mRNA	86	72	66	58	124	282	0.4397163120567376
YBR184W_mRNA	590	434	270	278	548	1572	0.3486005089058524
YDL073W_mRNA	1032	909	469	545	1014	2955	0.3431472081218274
YHR112C_mRNA	334	316	241	246	487	1137	0.4283201407211961
YGL007W_mRNA	96	107	75	100	175	378	0.46296296296296297
YNL281W_mRNA	144	128	79	111	190	462	0.41125541125541126
YLR115W_mRNA	914	694	461	511	972	2580	0.3767441860465116
YML050W_mRNA	304	274	172	186	358	936	0.38247863247863245
YJL126W_mRNA	290	248	185	201	386	924	0.41774891774891776
YLR104W_mRNA	120	111	84	81	165	396	0.4166666666666667
YPR024W_mRNA	678	604	444	518	962	2244	0.428698752228164
YER071C_mRNA	149	105	61	66	127	381	0.3333333333333333
YOL053W_mRNA	416	293	210	269	479	1188	0.4031986531986532
YOR165W_mRNA	783	686	356	506	862	2331	0.3697983697983698
YBR042C_mRNA	382	369	213	230	443	1194	0.3710217755443886
YFL002C_mRNA	620	511	301	389	690	1821	0.37891268533772654
YFL034C-A_mRNA	129	97	71	72	143	369	0.3875338753387534
YDL176W_mRNA	714	637	350	426	776	2127	0.36483309826046073
YMR312W_mRNA	258	239	201	124	325	822	0.3953771289537713
YER008C_mRNA	1485	1017	721	788	1509	4011	0.37621540762902017
YLR073C_mRNA	189	156	144	114	258	603	0.42786069651741293
YER062C_mRNA	225	193	162	173	335	753	0.4448871181938911
YBR225W_mRNA	934	720	562	487	1049	2703	0.3880873103958565
YJL107C_mRNA	412	287	208	257	465	1164	0.39948453608247425
YGL164C_mRNA	507	306	202	308	510	1323	0.3854875283446712
YMR161W_mRNA	210	178	133	154	287	675	0.42518518518518517
YDR156W_mRNA	119	84	115	96	211	414	0.5096618357487923
YGR196C_mRNA	924	564	411	555	966	2454	0.39364303178484106
YDR191W_mRNA	352	310	204	247	451	1113	0.4052111410601977
YOR060C_mRNA	260	205	141	168	309	774	0.3992248062015504
YBR029C_mRNA	395	450	273	256	529	1374	0.38500727802037843
YBR068C_mRNA	491	603	346	390	736	1830	0.4021857923497268
YGL142C_mRNA	529	631	349	342	691	1851	0.3733117233927607
YML034W_mRNA	885	634	448	538	986	2505	0.3936127744510978
YKL118W_mRNA	76	134	61	41	102	312	0.3269230769230769
YPR064W_mRNA	92	131	87	110	197	420	0.46904761904761905
YBR064W_mRNA	135	152	72	70	142	429	0.331002331002331
YDL159C-B_mRNA	45	64	35	33	68	177	0.384180790960452
YIL156W-B_mRNA	64	60	44	54	98	222	0.44144144144144143
YML097C_mRNA	483	360	232	281	513	1356	0.37831858407079644
YKL001C_mRNA	197	171	105	136	241	609	0.3957307060755337
YDR035W_mRNA	350	298	203	262	465	1113	0.41778975741239893
YGR224W_mRNA	499	600	365	378	743	1842	0.4033659066232356
YDR354C-A_mRNA	42	41	33	28	61	144	0.4236111111111111
YDR400W_mRNA	316	301	193	213	406	1023	0.396871945259042
YLL020C_mRNA	78	127	53	48	101	306	0.3300653594771242
YOR300W_mRNA	109	82	63	55	118	309	0.3818770226537217
YJL192C_mRNA	223	202	143	137	280	705	0.3971631205673759
