si-Ctrl-1	si-Ctrl-2	si-eIF5A-1	si-eIF5A-2
YLR319C_mRNA	YLR319C_mRNA	YLR319C_mRNA	YLR319C_mRNA
YEL024W_mRNA	YEL024W_mRNA	YKR064W_mRNA	YKR064W_mRNA
YMR137C_mRNA	YER067W_mRNA	YEL024W_mRNA	YEL024W_mRNA
YER067W_mRNA	YGL106W_mRNA	YMR137C_mRNA	YMR137C_mRNA
YGL106W_mRNA	YIL096C_mRNA	YER067W_mRNA	YER067W_mRNA
YIL096C_mRNA	YPL126W_mRNA	YGL106W_mRNA	YGL106W_mRNA
YPL126W_mRNA	YNR018W_mRNA	YIL096C_mRNA	YIL096C_mRNA
YNR018W_mRNA	YAL039C_mRNA	YPL126W_mRNA	YPL126W_mRNA
YAL039C_mRNA	YNR010W_mRNA	YNR018W_mRNA	YNR018W_mRNA
YNR010W_mRNA	YCR017C_mRNA	YAL039C_mRNA	YAL039C_mRNA
YCR017C_mRNA	YOR144C_mRNA	YNR010W_mRNA	YNR010W_mRNA
YOR144C_mRNA	YBR166C_mRNA	YCR017C_mRNA	YCR017C_mRNA
YBR166C_mRNA	YPL063W_mRNA	YOR144C_mRNA	YOR144C_mRNA
YPL063W_mRNA	YMR078C_mRNA	YBR166C_mRNA	YBR166C_mRNA
YMR078C_mRNA	YCR053W_mRNA	YPL063W_mRNA	YPL063W_mRNA
YCR053W_mRNA	YKR056W_mRNA	YGL033W_mRNA	YGL033W_mRNA
YKR056W_mRNA	YMR060C_mRNA	YCR053W_mRNA	YMR078C_mRNA
YMR060C_mRNA	YFR009W_mRNA	YKR056W_mRNA	YCR053W_mRNA
YFR009W_mRNA	YCL044C_mRNA	YMR060C_mRNA	YKR056W_mRNA
YCL044C_mRNA	YOR244W_mRNA	YFR009W_mRNA	YMR060C_mRNA
YOR244W_mRNA	YDR494W_mRNA	YCL044C_mRNA	YFR009W_mRNA
YDR494W_mRNA	YKL021C_mRNA	YOR244W_mRNA	YCL044C_mRNA
YKL021C_mRNA	YKL154W_mRNA	YBR237W_mRNA	YOR244W_mRNA
YKL154W_mRNA	YGL066W_mRNA	YDR494W_mRNA	YDR494W_mRNA
YGL066W_mRNA	YNL162W_mRNA	YKL021C_mRNA	YKL021C_mRNA
YNL162W_mRNA	YGR220C_mRNA	YKL154W_mRNA	YKL154W_mRNA
YGR220C_mRNA	YGL169W_mRNA	YGL066W_mRNA	YGL066W_mRNA
YGL169W_mRNA	YLR351C_mRNA	YNL162W_mRNA	YNL162W_mRNA
YLR351C_mRNA	YKR046C_mRNA	YGR220C_mRNA	YGR220C_mRNA
YKR046C_mRNA	YHL030W_mRNA	YGL169W_mRNA	YGL169W_mRNA
YHL030W_mRNA	YER078C_mRNA	YLR351C_mRNA	YLR351C_mRNA
YER078C_mRNA	YIL047C_mRNA	YKR046C_mRNA	YKR046C_mRNA
YIL047C_mRNA	YPL132W_mRNA	YHL030W_mRNA	YHL030W_mRNA
YPL132W_mRNA	YOR047C_mRNA	YER078C_mRNA	YER078C_mRNA
YOR047C_mRNA	YFL026W_mRNA	YIL047C_mRNA	YIL047C_mRNA
YFL026W_mRNA	YCR052W_mRNA	YPL132W_mRNA	YPL132W_mRNA
YCR052W_mRNA	YDR055W_mRNA	YOR047C_mRNA	YOR047C_mRNA
YDR055W_mRNA	YNL022C_mRNA	YFL026W_mRNA	YFL026W_mRNA
YNL022C_mRNA	YKL091C_mRNA	YCR052W_mRNA	YCR052W_mRNA
YKL091C_mRNA	YDR310C_mRNA	YDR055W_mRNA	YDR055W_mRNA
YDR310C_mRNA	YML024W_mRNA	YNL022C_mRNA	YNL022C_mRNA
YML024W_mRNA	YOR281C_mRNA	YKL091C_mRNA	YKL091C_mRNA
YOR281C_mRNA	YPL193W_mRNA	YDR310C_mRNA	YDR310C_mRNA
