I	87388	87500	+	6981
I	139188	139218	+	6966
I	142254	142619	+	6949
I	151007	151096	-	7002
I	181179	181210	+	6959
II	4117	4215	-	4104
II	36435	36452	+	4334
II	47059	47146	-	4322
II	60194	60697	-	4073
II	110421	110505	-	4023
II	110880	110948	+	4043
II	125155	125270	+	4357
II	142750	142846	-	4129
II	168425	168808	+	4016
II	170677	170804	+	4131
II	186353	186427	-	4066
II	332876	333386	+	4234
II	366503	366584	-	4090
II	393181	393510	+	4352
II	407028	407122	-	4132
II	414754	415259	-	4156
II	426517	426873	-	3963
II	462210	462289	+	3931
II	462430	462499	+	3931
II	479346	479434	+	3910
II	592417	592768	-	4263
II	602104	602216	+	4295
II	604515	604927	+	4121
II	606281	606668	+	4336
II	653369	653452	+	4079
II	662582	663002	-	4333
II	679943	680039	-	4015
II	726918	727011	-	4024
III	90897	90928	+	6741
III	101634	101700	-	6600
III	107034	107110	+	6714
III	107192	107287	+	6714
III	111558	111633	-	6595
III	173116	173198	-	6743
III	177907	178213	-	6589
III	227979	227997	+	6690
III	293940	293993	+	6656
III	294240	294291	+	6656
IV	65307	65377	+	467
IV	117667	118157	+	273
IV	217603	218007	+	852
IV	230020	230320	+	677
IV	239399	239509	-	93
IV	254975	255044	-	226
IV	267726	267806	+	581
IV	307334	307765	-	115
IV	308428	308792	+	255
IV	314045	314336	-	132
IV	322283	322703	+	233
IV	337525	337634	+	555
IV	359614	359636	+	434
IV	399362	399484	+	827
IV	431387	431472	-	202
IV	458018	458097	-	745
IV	491560	491898	+	297
IV	569634	569723	-	266
IV	579479	580017	+	205
IV	629906	630173	+	488
IV	715248	715358	-	86
IV	733703	733775	-	775
IV	884398	884457	+	498
IV	946351	946364	+	225
IV	1073313	1073401	-	134
IV	1095406	1095424	-	143
IV	1103810	1103892	+	600
IV	1212878	1212978	+	36
IV	1236843	1237608	+	683
IV	1238631	1238824	-	113
IV	1266770	1266861	-	215
IV	1319618	1319697	-	731
IV	1319721	1319816	-	731
IV	1355237	1355550	-	370
IV	1359970	1360404	+	564
IV	1401801	1402184	+	81
IV	1450458	1450846	-	653
IV	1461759	1461791	-	401
IV	1507059	1507314	-	794
V	4323	4601	-	5814
V	131777	131899	+	5965
V	148195	148282	+	5801
V	158995	159087	-	5724
V	166772	166874	-	5753
V	184170	184677	-	5813
V	239624	239711	-	5837
V	269752	270148	-	5638
V	306326	306791	+	5918
V	307747	307848	+	5941
V	307957	308067	+	5941
V	348202	348276	-	5755
V	396811	397281	+	5897
V	432672	433196	+	5804
V	548553	548644	+	5732
VI	54378	54686	-	6877
VI	63860	63973	-	6864
VI	64600	64920	-	6896
VI	75840	76091	+	6902
VI	101412	101442	+	6822
VI	157952	157970	-	6845
VI	167476	167489	+	6942
VI	191558	191576	-	6884
VI	203293	203386	-	6849
VI	210655	210668	-	6869
VI	221268	221414	-	6871
VI	242010	242081	+	6850
VII	31427	31578	-	2070
VII	62132	62189	+	2145
VII	72989	73137	-	1744
VII	115525	115547	+	1759
VII	157200	157282	-	1862
VII	167355	167994	+	1917
VII	205559	205590	+	2044
VII	249887	250086	+	1755
VII	287386	287419	-	1580
VII	311016	311526	+	1937
VII	346809	346893	-	1522
VII	364965	365432	-	1741
VII	365527	365985	-	1741
VII	423130	423161	+	2093
VII	435680	435749	+	2105
VII	436313	436374	+	2105
VII	439094	439323	+	2107
VII	440752	440770	-	2118
VII	497366	497458	-	1758
VII	497938	497999	-	1758
VII	543639	543721	+	1603
VII	555831	556307	+	1792
VII	700989	701011	-	1528
VII	727039	727357	+	1794
VII	857422	857453	-	2100
VII	859261	859473	-	1558
VII	878746	878779	-	2010
VII	920665	921119	+	1831
VII	946328	946420	+	2083
VII	1084883	1085030	+	1652
VIII	1898	2670	-	6287
VIII	104406	104803	+	6324
VIII	107832	107894	+	6115
VIII	126552	127112	+	6291
VIII	129529	129647	+	6192
VIII	138241	138408	-	6038
VIII	148117	148666	-	6098
VIII	187515	187676	-	6030
VIII	189750	189850	-	6270
VIII	237884	237902	-	6167
VIII	251156	251248	+	6184
VIII	255638	255750	-	6194
VIII	262355	262440	-	6292
VIII	298361	298484	-	6000
VIII	315772	315858	-	6132
VIII	354865	354955	+	6200
VIII	358514	358532	-	6088
VIII	382307	382747	-	6074
VIII	388929	388959	-	6215
VIII	498720	498786	-	6162
VIII	505248	505516	-	6148
VIII	558616	558714	+	6274
IX	4599	4986	-	6541
IX	47699	47760	+	6334
IX	68716	69149	+	6543
IX	99096	99385	-	6376
IX	166435	166519	+	6396
IX	225810	225899	-	6503
IX	231958	232366	-	6577
IX	256555	257026	-	6506
IX	316772	317171	+	6464
IX	335936	335936	-	6573
IX	348364	348494	-	6399
X	4582	4969	-	5127
X	50269	50411	-	5231
X	73797	74204	+	5209
X	75939	76324	+	4862
X	91095	91411	+	5132
X	156790	157249	-	4915
X	354283	354296	+	5153
X	387349	387435	-	5239
X	396494	396570	-	5055
X	415967	416000	-	4919
X	435228	435343	+	5052
X	469184	469263	-	4952
X	542992	543005	-	5235
X	580348	581052	+	4877
X	608307	608581	+	4964
X	617957	617975	+	4932
X	637810	637858	+	5058
X	702799	703054	-	4882
XI	82999	83074	+	5539
XI	109578	109883	+	5278
XI	155272	155654	+	5292
XI	158616	158966	+	5533
XI	283096	283421	+	5323
XI	302954	302987	+	5531
XI	430456	430596	-	5568
XI	432035	432432	+	5408
XI	437838	437905	+	5273
XI	447707	447810	-	5271
XI	449952	450020	-	5607
XI	458595	458626	+	5422
XI	551681	552002	+	5389
XI	579002	579024	+	5341
XI	618375	618742	-	5288
XI	625902	625976	+	5575
XII	3916	4014	-	2772
XII	9451	9549	-	2252
XII	40222	40400	-	2161
XII	92584	92614	+	2569
XII	242322	242680	+	2572
XII	250861	250947	-	2164
XII	263206	263594	+	2703
XII	286468	286556	-	2263
XII	327259	327399	-	2336
XII	398533	398626	+	2168
XII	455182	455413	-	2607
XII	455572	455932	-	2607
XII	464319	464550	-	2679
XII	464709	465069	-	2679
XII	522670	523028	+	2404
XII	548678	548763	-	2681
XII	550459	550574	-	2354
XII	564455	564513	-	2487
XII	592563	592581	-	2565
XII	605336	605395	-	2472
XII	628421	628453	+	2606
XII	694383	694472	+	2561
XII	712726	713155	-	2660
XII	732128	732146	+	2225
XII	744154	744287	+	2691
XII	766074	766129	-	2567
XII	766182	766249	-	2567
XII	784390	784409	+	2748
XII	786616	786712	+	2534
XII	819331	819777	+	2552
XII	856575	857057	+	2431
XII	875413	875435	+	2594
XII	931350	931698	-	2614
XII	987142	987212	+	2608
XII	1024573	1024654	+	2351
XII	1028869	1029252	+	2427
XII	1067085	1067363	+	2667
XIII	3792	3890	-	3416
XIII	23361	23658	-	3799
XIII	82291	82373	+	3690
XIII	99260	99375	-	3375
XIII	123743	124157	-	3391
XIII	140091	140183	-	3830
XIII	163309	163716	-	3400
XIII	168834	168847	+	3629
XIII	196104	196134	-	3755
XIII	206098	206203	+	3878
XIII	211445	211570	+	3842
XIII	223381	223781	-	3458
XIII	225240	225338	-	3640
XIII	225892	226289	+	3768
XIII	236592	236953	+	3620
XIII	337818	337903	+	3557
XIII	352317	352334	+	3466
XIII	379339	379372	-	3523
XIII	424998	425153	+	3433
XIII	499879	500151	-	3697
XIII	504933	504964	+	3748
XIII	517564	517885	+	3791
XIII	537449	537564	+	3538
XIII	550802	551203	-	3471
XIII	551952	552495	+	3460
XIII	651161	651623	+	3780
XIII	652776	652847	-	3603
XIII	666934	667017	-	3454
XIII	721199	721345	-	3765
XIII	732466	732875	+	3808
XIII	837967	837980	+	3370
XIII	854817	854898	+	3865
XIV	5932	6079	-	4764
XIV	48294	48401	+	4556
XIV	62373	62923	-	4726
XIV	64019	64450	-	4420
XIV	145150	145254	-	4605
XIV	185492	185586	+	4401
XIV	331326	331837	+	4431
XIV	350958	351053	+	4666
XIV	366036	366157	+	4741
XIV	374906	374923	+	4493
XIV	380690	380781	-	4655
XIV	414912	415913	+	4732
XIV	443044	443075	+	4484
XIV	443827	444171	-	4768
XIV	494525	494973	-	4717
XIV	534875	534965	-	4514
XIV	545292	545370	+	4424
XIV	547130	547160	+	4772
XIV	557611	557684	+	4596
XIV	568151	568181	+	4620
XIV	609791	609874	+	4645
XIV	622945	623286	+	4575
XIV	721771	722302	-	4754
XV	80361	80774	+	1110
XV	92441	92830	-	1433
XV	93844	94290	-	938
XV	240948	241025	-	888
XV	242442	242504	-	1399
XV	274710	274728	+	1504
XV	288231	288244	+	1448
XV	301133	301162	+	1173
XV	438680	438702	+	910
XV	464486	464515	+	1213
XV	505938	506338	+	1494
XV	552666	552874	-	1049
XV	678380	678790	-	1332
XV	778860	779386	-	1163
XV	780121	780277	+	1136
XV	785688	785688	+	1113
XV	867150	867586	+	1231
XV	912086	912432	-	1261
XV	980719	980751	+	1275
XVI	5841	5988	-	3244
XVI	56205	56238	-	3048
XVI	75986	76223	-	3229
XVI	96154	96233	-	3129
XVI	138726	138864	+	2836
XVI	173163	173571	+	2839
XVI	173666	174072	+	2839
XVI	218647	218746	+	2856
XVI	281374	281503	-	2821
XVI	282141	282665	+	3190
XVI	305307	305411	+	3002
XVI	345445	345596	-	3304
XVI	377996	378389	-	2859
XVI	404957	405457	+	2920
XVI	406647	407067	+	3279
XVI	412262	413012	+	3086
XVI	459006	459006	+	2967
XVI	492919	493020	-	3103
XVI	560234	560252	-	3227
XVI	582559	582701	-	2933
XVI	622576	622594	-	2926
XVI	623578	623710	+	3083
XVI	654168	654570	+	3132
XVI	678194	678279	-	3194
XVI	729386	729481	-	3234
XVI	769243	769265	-	3045
XVI	795030	795394	+	3121
XVI	833694	833827	+	3003
XVI	883388	883486	+	3309
XVI	911277	911352	+	3195
XVI	943051	943198	+	2870
Mito	13987	16434	+	7074,7077,7099,7123,7124
Mito	16471	18953	+	7074,7077,7123,7124
Mito	18992	20507	+	7074,7077,7124
Mito	20985	21994	+	7077,7124
Mito	22247	23611	+	7124
Mito	23747	25317	+	7124
Mito	24871	24905	+	7088
Mito	25343	26228	+	7124
Mito	36955	37722	+	7094,7102,7111,7112
Mito	37737	39140	+	7094,7102,7112
Mito	39218	40840	+	7094,7112
Mito	41091	42507	+	7094
Mito	42559	43296	+	7094
Mito	60725	61867	+	7127
Mito	75623	75662	+	7083
Mito	75873	75903	+	7083
