si-Ctrl-1	si-Ctrl-2	si-eIF5A-1	si-eIF5A-2
YMR303C_mRNA	YMR303C_mRNA	YMR303C_mRNA	YMR303C_mRNA
YJR016C_mRNA	YJR016C_mRNA	YJR016C_mRNA	YLR162W_mRNA
YOL065C_mRNA	YOL065C_mRNA	YOL065C_mRNA	YJR016C_mRNA
YDR266C_mRNA	YDR266C_mRNA	YDR266C_mRNA	YOL065C_mRNA
YIL009W_mRNA	YIL009W_mRNA	YIL009W_mRNA	YDR266C_mRNA
YER117W_mRNA	YER117W_mRNA	YER117W_mRNA	YIL009W_mRNA
YOR156C_mRNA	YOR156C_mRNA	YOR156C_mRNA	YER117W_mRNA
YGR191W_mRNA	YGR191W_mRNA	YGR191W_mRNA	YOR156C_mRNA
YBR053C_mRNA	YBR053C_mRNA	YBR053C_mRNA	YGR191W_mRNA
YML048W_mRNA	YML048W_mRNA	YML048W_mRNA	YBR053C_mRNA
YPR199C_mRNA	YPR199C_mRNA	YPR199C_mRNA	YML048W_mRNA
YLR212C_mRNA	YLR212C_mRNA	YLR212C_mRNA	YPR199C_mRNA
YPR155C_mRNA	YPR155C_mRNA	YPR155C_mRNA	YLR212C_mRNA
YLR178C_mRNA	YLR178C_mRNA	YLR178C_mRNA	YPR155C_mRNA
YJR052W_mRNA	YJR052W_mRNA	YJR052W_mRNA	YLR178C_mRNA
YHR089C_mRNA	YHR089C_mRNA	YHR089C_mRNA	YJR052W_mRNA
YIL158W_mRNA	YIL158W_mRNA	YEL065W_mRNA	YHR089C_mRNA
YEL065W_mRNA	YEL065W_mRNA	YGR260W_mRNA	YIL158W_mRNA
YGR260W_mRNA	YGR260W_mRNA	YDL234C_mRNA	YEL065W_mRNA
YDL234C_mRNA	YDL234C_mRNA	YPL260W_mRNA	YGR260W_mRNA
YPL260W_mRNA	YPL260W_mRNA	YBR029C_mRNA	YDL234C_mRNA
YBR029C_mRNA	YBR029C_mRNA	YLR187W_mRNA	YPL260W_mRNA
YLR187W_mRNA	YLR187W_mRNA	YLR149C_mRNA	YBR029C_mRNA
YDR448W_mRNA	YDR448W_mRNA	YDR448W_mRNA	YLR187W_mRNA
YJR090C_mRNA	YJR090C_mRNA	YJR090C_mRNA	YLR149C_mRNA
YKR068C_mRNA	YKR068C_mRNA	YKR068C_mRNA	YDR448W_mRNA
YLR291C_mRNA	YLR291C_mRNA	YLR291C_mRNA	YJR090C_mRNA
YHL038C_mRNA	YHL038C_mRNA	YHL038C_mRNA	YKR068C_mRNA
YLR211C_mRNA	YLR211C_mRNA	YLR211C_mRNA	YLR291C_mRNA
YLR137W_mRNA	YLR137W_mRNA	YLR137W_mRNA	YHL038C_mRNA
YLR249W_mRNA	YLR249W_mRNA	YGR127W_mRNA	YLR211C_mRNA
YNL305C_mRNA	YNL305C_mRNA	YLR249W_mRNA	YLR137W_mRNA
YPR129W_mRNA	YPR129W_mRNA	YNL305C_mRNA	YGR127W_mRNA
YJL001W_mRNA	YJL001W_mRNA	YJL001W_mRNA	YLR249W_mRNA
YMR001C_mRNA	YMR001C_mRNA	YPR129W_mRNA	YNL305C_mRNA
YLR385C_mRNA	YLR385C_mRNA	YMR001C_mRNA	YJL001W_mRNA
YOL144W_mRNA	YOL144W_mRNA	YLR385C_mRNA	YPR129W_mRNA
YBL004W_mRNA	YBL004W_mRNA	YOL144W_mRNA	YMR001C_mRNA
YHR050W_mRNA	YHR050W_mRNA	YBL004W_mRNA	YLR385C_mRNA
YMR293C_mRNA	YMR293C_mRNA	YHR050W_mRNA	YOL144W_mRNA
YIL083C_mRNA	YIL083C_mRNA	YMR293C_mRNA	YBL004W_mRNA
YGL110C_mRNA	YGL110C_mRNA	YIL083C_mRNA	YHR050W_mRNA
YLR133W_mRNA	YLR133W_mRNA	YGL110C_mRNA	YMR293C_mRNA
YCL049C_mRNA	YCL049C_mRNA	YLR133W_mRNA	YIL083C_mRNA
YJR065C_mRNA	YJR065C_mRNA	YCL049C_mRNA	YML054C_mRNA
YDL192W_mRNA	YDL192W_mRNA	YJR065C_mRNA	YGL110C_mRNA
YDR073W_mRNA	YDR073W_mRNA	YDL192W_mRNA	YLR133W_mRNA
YLR324W_mRNA	YLR324W_mRNA	YDR073W_mRNA	YCL049C_mRNA
YDR331W_mRNA	YDR331W_mRNA	YLR324W_mRNA	YJR065C_mRNA
YDR123C_mRNA	YDR123C_mRNA	YDR331W_mRNA	YDL192W_mRNA
YPL110C_mRNA	YPL110C_mRNA	YDR123C_mRNA	YDR073W_mRNA
YOL077C_mRNA	YOL077C_mRNA	YPL110C_mRNA	YLR324W_mRNA
YIL104C_mRNA	YIL104C_mRNA	YOL077C_mRNA	YDR331W_mRNA
YLR058C_mRNA	YLR058C_mRNA	YIL104C_mRNA	YDR123C_mRNA
YLL050C_mRNA	YLL050C_mRNA	YLR058C_mRNA	YPL110C_mRNA
YNL247W_mRNA	YNL247W_mRNA	YLL050C_mRNA	YOL077C_mRNA
YKL112W_mRNA	YKL112W_mRNA	YNL247W_mRNA	YMR066W_mRNA
YIL153W_mRNA	YIL153W_mRNA	YKL112W_mRNA	YIL104C_mRNA
YPR041W_mRNA	YPR041W_mRNA	YIL153W_mRNA	YLR058C_mRNA
YDR507C_mRNA	YDR507C_mRNA	YPR041W_mRNA	YLL050C_mRNA
YNL131W_mRNA	YNL131W_mRNA	YDR507C_mRNA	YNL247W_mRNA
YHR083W_mRNA	YHR083W_mRNA	YNL131W_mRNA	YKL112W_mRNA
YGL021W_mRNA	YGL021W_mRNA	YHR083W_mRNA	YIL153W_mRNA
YEL046C_mRNA	YEL046C_mRNA	YGL021W_mRNA	YPR041W_mRNA
YJR047C_mRNA	YJR047C_mRNA	YEL046C_mRNA	YDR507C_mRNA
YDR153C_mRNA	YDR153C_mRNA	YDR153C_mRNA	YNL131W_mRNA
YIL124W_mRNA	YIL124W_mRNA	YIL124W_mRNA	YHR083W_mRNA
YBR017C_mRNA	YBR017C_mRNA	YBR017C_mRNA	YGL021W_mRNA
YJR135C_mRNA	YJR135C_mRNA	YGR172C_mRNA	YEL046C_mRNA
YGR172C_mRNA	YGR172C_mRNA	YJR135C_mRNA	YDR153C_mRNA
YLL039C_mRNA	YLL039C_mRNA	YLL039C_mRNA	YIL124W_mRNA
YEL016C_mRNA	YEL016C_mRNA	YEL016C_mRNA	YBR017C_mRNA
YDL088C_mRNA	YDL088C_mRNA	YDL088C_mRNA	YGR172C_mRNA
YGR005C_mRNA	YGR005C_mRNA	YGR005C_mRNA	YJR135C_mRNA
YKR036C_mRNA	YKR036C_mRNA	YKR036C_mRNA	YLL039C_mRNA
YOR272W_mRNA	YOR272W_mRNA	YOR272W_mRNA	YEL016C_mRNA
YDL103C_mRNA	YDL103C_mRNA	YDL103C_mRNA	YDL088C_mRNA
YER103W_mRNA	YER103W_mRNA	YER103W_mRNA	YGR005C_mRNA
YPL107W_mRNA	YPL107W_mRNA	YPL107W_mRNA	YKR036C_mRNA
YPR029C_mRNA	YPR029C_mRNA	YPR029C_mRNA	YOR272W_mRNA
YDR142C_mRNA	YDR142C_mRNA	YDR159W_mRNA	YDL103C_mRNA
YJL115W_mRNA	YJL115W_mRNA	YDR142C_mRNA	YER103W_mRNA
YNL268W_mRNA	YNL268W_mRNA	YJL115W_mRNA	YPL107W_mRNA
YAL038W_mRNA	YAL038W_mRNA	YNL268W_mRNA	YPR029C_mRNA
YER167W_mRNA	YER167W_mRNA	YAL038W_mRNA	YDR159W_mRNA
YLR405W_mRNA	YLR405W_mRNA	YER167W_mRNA	YDR142C_mRNA
YKR010C_mRNA	YKR010C_mRNA	YLR405W_mRNA	YJL115W_mRNA
YOR286W_mRNA	YOR286W_mRNA	YKR010C_mRNA	YNL268W_mRNA
YCL044C_mRNA	YCL044C_mRNA	YKL123W_mRNA	YAL038W_mRNA
YNL006W_mRNA	YNL006W_mRNA	YOR286W_mRNA	YER167W_mRNA
YHR195W_mRNA	YHR195W_mRNA	YCL044C_mRNA	YLR405W_mRNA
YDL130W_mRNA	YDL130W_mRNA	YNL006W_mRNA	YKR010C_mRNA
YBR041W_mRNA	YBR041W_mRNA	YHR195W_mRNA	YKL123W_mRNA
YGR184C_mRNA	YGR184C_mRNA	YDL130W_mRNA	YOR286W_mRNA
YFL025C_mRNA	YFL025C_mRNA	YBR041W_mRNA	YCL044C_mRNA
YML120C_mRNA	YML120C_mRNA	YGR184C_mRNA	YNL006W_mRNA
YGL054C_mRNA	YGL054C_mRNA	YFL025C_mRNA	YHR195W_mRNA
YMR316W_mRNA	YGR216C_mRNA	YML120C_mRNA	YDL130W_mRNA
YGR216C_mRNA	YAL019W_mRNA	YGL054C_mRNA	YBR041W_mRNA
YEL071W_mRNA	YEL071W_mRNA	YMR316W_mRNA	YGR184C_mRNA
YFR029W_mRNA	YFR029W_mRNA	YGR216C_mRNA	YFL025C_mRNA
YAL019W_mRNA	YJR124C_mRNA	YEL071W_mRNA	YML120C_mRNA
YJR124C_mRNA	YDR407C_mRNA	YFR029W_mRNA	YGL054C_mRNA
YDR407C_mRNA	YDR224C_mRNA	YAL019W_mRNA	YMR316W_mRNA
YDR224C_mRNA	YDR520C_mRNA	YJR124C_mRNA	YGR216C_mRNA
YDR520C_mRNA	YHR136C_mRNA	YMR053C_mRNA	YEL071W_mRNA
YHR136C_mRNA	YHR179W_mRNA	YDR407C_mRNA	YFR029W_mRNA
YHR179W_mRNA	YKL113C_mRNA	YDR224C_mRNA	YAL019W_mRNA
YKL113C_mRNA	YCR093W_mRNA	YDR520C_mRNA	YJR124C_mRNA
YCR093W_mRNA	YDR539W_mRNA	YHR136C_mRNA	YMR053C_mRNA
YDR539W_mRNA	YKL120W_mRNA	YLR267W_mRNA	YDR407C_mRNA
YKL120W_mRNA	YHR043C_mRNA	YHR179W_mRNA	YDR224C_mRNA
YHR043C_mRNA	YGL223C_mRNA	YKL113C_mRNA	YDR520C_mRNA
YGL223C_mRNA	YPL154C_mRNA	YCR093W_mRNA	YHR136C_mRNA
YPL154C_mRNA	YKL043W_mRNA	YKL120W_mRNA	YLR267W_mRNA
YKL043W_mRNA	YMR184W_mRNA	YHR043C_mRNA	YHR179W_mRNA
YMR184W_mRNA	YJL008C_mRNA	YGL223C_mRNA	YKL113C_mRNA
YJL008C_mRNA	YCR059C_mRNA	YPL154C_mRNA	YCR093W_mRNA
YCR059C_mRNA	YDR394W_mRNA	YKL043W_mRNA	YKL120W_mRNA
YDR394W_mRNA	YMR150C_mRNA	YMR184W_mRNA	YHR043C_mRNA
YMR150C_mRNA	YLR270W_mRNA	YJL008C_mRNA	YGL223C_mRNA
YLR270W_mRNA	YLR042C_mRNA	YGL182C_mRNA	YPL154C_mRNA
YLR042C_mRNA	YML010W_mRNA	YCR059C_mRNA	YKL043W_mRNA
YML010W_mRNA	YPL026C_mRNA	YDR394W_mRNA	YMR184W_mRNA
YPL026C_mRNA	YLR035C_mRNA	YMR150C_mRNA	YJL008C_mRNA
YLR035C_mRNA	YNR032W_mRNA	YLR270W_mRNA	YGL182C_mRNA
YNR032W_mRNA	YGL080W_mRNA	YLR042C_mRNA	YCR059C_mRNA
YGL080W_mRNA	YML049C_mRNA	YML010W_mRNA	YDR394W_mRNA
YML049C_mRNA	YGL092W_mRNA	YPL026C_mRNA	YMR150C_mRNA
YGL092W_mRNA	YKR081C_mRNA	YLR035C_mRNA	YLR270W_mRNA
YKR081C_mRNA	YOL086C_mRNA	YNR032W_mRNA	YLR042C_mRNA
YOL086C_mRNA	YJR139C_mRNA	YGL080W_mRNA	YML010W_mRNA
YJR139C_mRNA	YMR291W_mRNA	YML049C_mRNA	YPL026C_mRNA
